"Ethnicity","2018/19 (%)","2024/25 (%)"
"Bangladeshi",42.3,48.5
"Chinese",69.2,73.1
"Indian",46.5,48.2
"Pakistani",31.5,36
"Black African",33.5,41
"Any other Black background",23.5,31.4
"White and Asian",26.8,31.9
"White and Black African",28.8,30.7
"White and Black Caribbean",16.8,18.8
"Any other Mixed background",28.4,32.6
"White British",17.7,19.1
"White Irish",26.2,22.3
"Traveller of Irish heritage",11.8,7.1
"Any other White background",28.6,33.1
"Any other ethnic group",34,34.7
"Any other Asian",40.5,43
"Black Caribbean",17.6,20.3
"Gypsy or Roma",4.5,3.8
