"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in13","Attainment at age 16","trend","E92000001","Country","England","time_period","2024/25",,,,,,,"2024/25",3.92,,,,"Disadvantage index",
"in13","Attainment at age 16","trend","E92000001","Country","England","time_period","2023/24",,,,,,,"2023/24",3.93,,,,"Disadvantage index",
"in13","Attainment at age 16","trend","E92000001","Country","England","time_period","2022/23",,,,,,,"2022/23",3.94,,,,"Disadvantage index",
"in13","Attainment at age 16","trend","E92000001","Country","England","time_period","2021/22",,,,,,,"2021/22",3.84,,,,"Disadvantage index",
"in13","Attainment at age 16","trend","E92000001","Country","England","time_period","2020/21",,,,,,,"2020/21",3.79,,,,"Disadvantage index",
"in13","Attainment at age 16","trend","E92000001","Country","England","time_period","2019/20",,,,,,,"2019/20",3.66,,,,"Disadvantage index",
"in13","Attainment at age 16","trend","E92000001","Country","England","time_period","2018/19",,,,,,,"2018/19",3.7,,,,"Disadvantage index",
"in13","Attainment at age 16","trend","E92000001","Country","England","time_period","2017/18",,,,,,,"2017/18",3.68,,,,"Disadvantage index",
"in13","Attainment at age 16","trend","E92000001","Country","England","time_period","2016/17",,,,,,,"2016/17",3.66,,,,"Disadvantage index",
"in13","Attainment at age 16","trend","E92000001","Country","England","time_period","2015/16",,,,,,,"2015/16",3.78,,,,"Disadvantage index",
"in13","Attainment at age 16","trend","E92000001","Country","England","time_period","2014/15",,,,,,,"2014/15",3.79,,,,"Disadvantage index",
"in13","Attainment at age 16","trend","E92000001","Country","England","time_period","2013/14",,,,,,,"2013/14",3.74,,,,"Disadvantage index",
"in13","Attainment at age 16","trend","E92000001","Country","England","time_period","2012/13",,,,,,,"2012/13",3.8,,,,"Disadvantage index",
"in13","Attainment at age 16","trend","E92000001","Country","England","time_period","2011/12",,,,,,,"2011/12",3.89,,,,"Disadvantage index",
"in13","Attainment at age 16","trend","E92000001","Country","England","time_period","2010/11",,,,,,,"2010/11",4.07,,,,"Disadvantage index",
