"ethnicity","value_2021_22","value_2024_25"
"Any other Asian",46,53
"Any other Black background",45,48
"Any other ethnic group",42,47
"Any other Mixed background",49,49
"Any other White background",44,50
"Bangladeshi",49,52
"Black African",49,50
"Black Caribbean",44,46
"Chinese",59,71
"Gypsy or Roma",19,30
"Indian",57,55
"Pakistani",47,52
"Traveller of Irish heritage",22,18
"White and Asian",46,51
"White and Black African",49,50
"White and Black Caribbean",45,45
"White British",40,40
"White Irish",39,29
