"ethnicity","value_2021_22","value_2024_25"
"Any other Asian",55,58
"Any other Black background",53,54
"Any other ethnic group",48,53
"Any other Mixed background",56,57
"Any other White background",50,56
"Bangladeshi",58,60
"Black African",56,58
"Black Caribbean",53,56
"Chinese",67,68
"Gypsy or Roma",28,35
"Indian",63,64
"Pakistani",54,59
"Traveller of Irish heritage",28,26
"White and Asian",54,57
"White and Black African",59,57
"White and Black Caribbean",52,53
"White British",47,48
"White Irish",42,39
