"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","split_value"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Boys","seb","Eligible for free school meals",,,,,"2018/19",49,,,45946,"Percentage",,"Boys - Eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Boys","seb","Eligible for free school meals",,,,,"2017/18",49,,,44787,"Percentage",,"Boys - Eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Boys","seb","Eligible for free school meals",,,,,"2016/17",48,,,47250,"Percentage",,"Boys - Eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Boys","seb","Eligible for free school meals",,,,,"2015/16",46,,,48145,"Percentage",,"Boys - Eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Boys","seb","Eligible for free school meals",,,,,"2014/15",43,,,50070,"Percentage",,"Boys - Eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Boys","seb","Eligible for free school meals",,,,,"2013/14",36,,,57480,"Percentage",,"Boys - Eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Boys","seb","Eligible for free school meals",,,,,"2024/25",44,,,51160,"Percentage",,"Boys - Eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Boys","seb","Eligible for free school meals",,,,,"2023/24",43,,,53335,"Percentage",,"Boys - Eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Boys","seb","Eligible for free school meals",,,,,"2022/23",44,,,55488,"Percentage",,"Boys - Eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Boys","seb","Eligible for free school meals",,,,,"2021/22",42,,,58078,"Percentage",,"Boys - Eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Boys","seb","Not eligible for free school meals",,,,,"2018/19",68,,,281479,"Percentage",,"Boys - Not eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Boys","seb","Not eligible for free school meals",,,,,"2017/18",67,,,289292,"Percentage",,"Boys - Not eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Boys","seb","Not eligible for free school meals",,,,,"2016/17",67,,,295787,"Percentage",,"Boys - Not eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Boys","seb","Not eligible for free school meals",,,,,"2015/16",65,,,294802,"Percentage",,"Boys - Not eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Boys","seb","Not eligible for free school meals",,,,,"2014/15",61,,,285567,"Percentage",,"Boys - Not eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Boys","seb","Not eligible for free school meals",,,,,"2013/14",56,,,270881,"Percentage",,"Boys - Not eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Boys","seb","Not eligible for free school meals",,,,,"2024/25",66,,,243248,"Percentage",,"Boys - Not eligible for free school meals"
"in11","Level of development at age 5","sex","E92000001","Country","England","sex","Boys","seb","Not eligible for free school meals",,,,,"2023/24",65,,,250429,"Percentage",,"Boys - Not eligible for free school meals"
