"Region","FSM eligible (%)","Not FSM eligible (%)"
"Bedfordshire and Hertfordshire",45.932,71.903
"Berkshire, Buckinghamshire and Oxfordshire",49.08,75.17
"Cheshire",46.175,72.577
"Cornwall and Isles of Scilly",51.502,74.171
"Cumbria",43.563,69.031
"Derbyshire and Nottinghamshire",49.167,71.661
"Devon",48.389,73.212
"Dorset and Somerset",49.322,74.28
"East Anglia",46.245,72.048
"East Yorkshire and Northern Lincolnshire",52.529,70.775
"Essex",51.275,74.131
"Gloucestershire, Wiltshire and Bath/Bristol area",47.643,74.168
"Greater Manchester",50.441,69.244
"Hampshire and Isle of Wight",51.375,74.595
"Herefordshire, Worcestershire and Warwickshire",44.526,73.105
"Inner London - East",60.521,74.723
"Inner London - West",60.082,76.845
"Kent",51.106,73.632
"Lancashire",47.28,68.399
"Leicestershire, Rutland and Northamptonshire",49.58,71.695
"Lincolnshire",50,71.032
"Merseyside",49.531,69.946
"North Yorkshire",45.838,74.906
"Northumberland, and Tyne and Wear",50.127,72.546
"Outer London - East and North East",60.155,74.089
"Outer London - South",55.295,74.528
"Outer London - West and North West",55.937,73.543
"Shropshire and Staffordshire",52.364,72.987
"South Yorkshire",49.529,71.353
"Surrey, East and West Sussex",46.688,74.722
"Tees Valley and Durham",49.054,71.91
"West Midlands",55.826,69.839
"West Yorkshire",48.759,68.524
