"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","NEET","seb","Higher professional",,,,,"2025",9.902,8.313,11.765,1211,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","NEET","seb","Lower professional",,,,,"2025",9.378,7.782,11.22,1164,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","NEET","seb","Intermediate",,,,,"2025",12.879,10.775,15.278,894,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","NEET","seb","Higher working",,,,,"2025",15.381,12.672,18.483,625,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","NEET","seb","Lower working",,,,,"2025",25.156,22.224,28.326,807,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Employment","seb","Higher professional",,,,,"2025",57.321,54.462,60.107,1211,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Employment","seb","Lower professional",,,,,"2025",56.663,53.794,59.563,1164,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Employment","seb","Intermediate",,,,,"2025",55.798,52.487,59.095,894,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Employment","seb","Higher working",,,,,"2025",54.52,50.56,58.503,625,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Employment","seb","Lower working",,,,,"2025",40.646,37.247,44.132,807,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Education and training","seb","Higher professional",,,,,"2025",32.777,30.157,35.52,1211,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Education and training","seb","Lower professional",,,,,"2025",33.959,31.229,36.747,1164,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Education and training","seb","Intermediate",,,,,"2025",31.322,28.311,34.492,894,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Education and training","seb","Higher working",,,,,"2025",30.1,26.538,33.87,625,"Percent",
"in21","Destinations following the end of compulsory full-time education","seb","K02000001","country","United Kingdom","neet","Education and training","seb","Lower working",,,,,"2025",34.198,30.949,37.605,807,"Percent",
