"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","NEET","seb","Higher professional","disability","Yes",,,"2014-2025",17.894,15.86,20.096,1303,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","NEET","seb","Higher professional","disability","No",,,"2014-2025",7.977,7.48,8.506,10905,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","NEET","seb","Lower professional","disability","Yes",,,"2014-2025",24.581,22.539,26.783,1626,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","NEET","seb","Lower professional","disability","No",,,"2014-2025",8.574,8.066,9.101,11424,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","NEET","seb","Intermediate","disability","Yes",,,"2014-2025",26.464,24.257,28.735,1532,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","NEET","seb","Intermediate","disability","No",,,"2014-2025",9.862,9.306,10.449,10646,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","NEET","seb","Higher working","disability","Yes",,,"2014-2025",34.356,31.855,36.915,1389,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","NEET","seb","Higher working","disability","No",,,"2014-2025",11.333,10.679,12.019,8745,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","NEET","seb","Lower working","disability","Yes",,,"2014-2025",40.272,38.262,42.309,2302,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","NEET","seb","Lower working","disability","No",,,"2014-2025",16.307,15.525,17.115,8421,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Employment","seb","Higher professional","disability","Yes",,,"2014-2025",46.732,44.005,49.491,1303,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Employment","seb","Higher professional","disability","No",,,"2014-2025",55.354,54.411,56.286,10905,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Employment","seb","Lower professional","disability","Yes",,,"2014-2025",43.253,40.815,45.687,1626,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Employment","seb","Lower professional","disability","No",,,"2014-2025",60.062,59.161,60.965,11424,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Employment","seb","Intermediate","disability","Yes",,,"2014-2025",43.992,41.495,46.525,1532,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Employment","seb","Intermediate","disability","No",,,"2014-2025",60.952,60.017,61.88,10646,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Employment","seb","Higher working","disability","Yes",,,"2014-2025",38.181,35.603,40.777,1389,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Employment","seb","Higher working","disability","No",,,"2014-2025",60.286,59.25,61.312,8745,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Employment","seb","Lower working","disability","Yes",,,"2014-2025",27.351,25.564,29.248,2302,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Employment","seb","Lower working","disability","No",,,"2014-2025",52.565,51.498,53.642,8421,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Education and training","seb","Higher professional","disability","Yes",,,"2014-2025",35.374,32.793,38.054,1303,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Education and training","seb","Higher professional","disability","No",,,"2014-2025",36.669,35.767,37.585,10905,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Education and training","seb","Lower professional","disability","Yes",,,"2014-2025",32.166,29.909,34.506,1626,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Education and training","seb","Lower professional","disability","No",,,"2014-2025",31.364,30.515,32.225,11424,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Education and training","seb","Intermediate","disability","Yes",,,"2014-2025",29.544,27.306,31.936,1532,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Education and training","seb","Intermediate","disability","No",,,"2014-2025",29.185,28.324,30.06,10646,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Education and training","seb","Higher working","disability","Yes",,,"2014-2025",27.463,25.113,29.873,1389,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Education and training","seb","Higher working","disability","No",,,"2014-2025",28.381,27.441,29.342,8745,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Education and training","seb","Lower working","disability","Yes",,,"2014-2025",32.377,30.461,34.324,2302,"Percent",
"in21","Destinations following the end of compulsory full-time education","disability","K02000001","country","United Kingdom","neet","Education and training","seb","Lower working","disability","No",,,"2014-2025",31.127,30.139,32.128,8421,"Percent",
