"Socio-economic background","Disabled","Education and training","","","Employment","","","NEET","",""
"","","2014-2019 (%)","2020-2025 (%)","2014-2025 (combined) (%)","2014-2019 (%)","2020-2025 (%)","2014-2025 (combined) (%)","2014-2019 (%)","2020-2025 (%)","2014-2025 (combined) (%)"
"Higher professional","Yes","35.57","35.263","35.374","46.459","46.887","46.732","17.971","17.85","17.894"
"","No","36.171","37.094","36.669","56.014","54.79","55.354","7.815","8.116","7.977"
"Lower professional","Yes","28.921","34.475","32.166","45.874","41.388","43.253","25.205","24.137","24.581"
"","No","30.619","32.12","31.364","60.956","59.156","60.062","8.425","8.725","8.574"
"Intermediate","Yes","27.383","31.251","29.544","45.679","42.659","43.992","26.938","26.09","26.464"
"","No","27.741","30.867","29.185","62.021","59.708","60.952","10.238","9.425","9.862"
"Higher working","Yes","28.201","26.759","27.463","37.577","38.758","38.181","34.222","34.483","34.356"
"","No","27.489","29.736","28.381","60.367","60.163","60.286","12.144","10.101","11.333"
"Lower working","Yes","27.746","35.898","32.377","29.852","25.45","27.351","42.402","38.652","40.272"
"","No","30.575","31.826","31.127","52.661","52.444","52.565","16.764","15.73","16.307"
