"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","NEET","seb","Higher professional","ethnicity","Bangladeshi",,,"2014-2025",8.697,6.423,11.675,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","Employment","seb","Higher professional","ethnicity","Bangladeshi",,,"2014-2025",34.612,29.876,39.673,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","Education and training","seb","Higher professional","ethnicity","Bangladeshi",,,"2014-2025",58.16,53.024,63.126,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","NEET","seb","Higher professional","ethnicity","Chinese",,,"2014-2025",7.028,4.573,10.654,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","Employment","seb","Higher professional","ethnicity","Chinese",,,"2014-2025",29.203,23.605,35.511,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","Education and training","seb","Higher professional","ethnicity","Chinese",,,"2014-2025",65.098,58.709,70.986,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","NEET","seb","Higher professional","ethnicity","Indian",,,"2014-2025",7.623,6.222,9.307,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","Employment","seb","Higher professional","ethnicity","Indian",,,"2014-2025",38.321,34.984,41.773,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","Education and training","seb","Higher professional","ethnicity","Indian",,,"2014-2025",55.428,52.02,58.785,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","NEET","seb","Higher professional","ethnicity","Pakistani",,,"2014-2025",8.674,7.241,10.359,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","Employment","seb","Higher professional","ethnicity","Pakistani",,,"2014-2025",32.854,29.808,36.052,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","Education and training","seb","Higher professional","ethnicity","Pakistani",,,"2014-2025",59.769,56.54,62.916,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","NEET","seb","Higher professional","ethnicity","Black African",,,"2014-2025",7.804,6.361,9.54,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","Employment","seb","Higher professional","ethnicity","Black African",,,"2014-2025",30.504,27.456,33.734,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","Education and training","seb","Higher professional","ethnicity","Black African",,,"2014-2025",63.245,59.917,66.452,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","NEET","seb","Higher professional","ethnicity","Black Caribbean",,,"2014-2025",10.475,7.912,13.746,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","Employment","seb","Higher professional","ethnicity","Black Caribbean",,,"2014-2025",45,39.886,50.222,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","Education and training","seb","Higher professional","ethnicity","Black Caribbean",,,"2014-2025",44.699,39.484,50.034,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","NEET","seb","Higher professional","ethnicity","Mixed",,,"2014-2025",10.864,9.262,12.704,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","Employment","seb","Higher professional","ethnicity","Mixed",,,"2014-2025",41.554,38.625,44.544,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","Education and training","seb","Higher professional","ethnicity","Mixed",,,"2014-2025",47.711,44.69,50.749,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","NEET","seb","Higher professional","ethnicity","White British",,,"2014-2025",9.635,8.975,10.339,,"Percent",
"in21","Destinations following the end of compulsory full-time education","ethnicity","K02000001","country","United Kingdom","neet","Employment","seb","Higher professional","ethnicity","White British",,,"2014-2025",56.959,55.824,58.087,,"Percent",
