"Ethnicity","Socio-economic background","Education and training (%)","Employment (%)","NEET (%)"
"Bangladeshi","Higher professional",58.16,34.612,8.697
"","Lower working",50.114,29.135,21.435
"Chinese","Higher professional",65.098,29.203,7.028
"","Lower working",57.408,24.265,17.798
"Indian","Higher professional",55.428,38.321,7.623
"","Lower working",47.331,32.55,19.118
"Pakistani","Higher professional",59.769,32.854,8.674
"","Lower working",51.775,27.539,21.387
"Black African","Higher professional",63.245,30.504,7.804
"","Lower working",55.427,25.425,19.514
"Black Caribbean","Higher professional",44.699,45,10.475
"","Lower working",36.873,38.857,25.102
"Mixed","Higher professional",47.711,41.554,10.864
"","Lower working",39.737,35.577,25.877
"White British","Higher professional",32.996,56.959,9.635
"","Lower working",26.247,50.688,23.396
"White other","Higher professional",41.646,50.953,8.227
"","Lower working",34.026,44.656,20.432
"Other","Higher professional",60.547,32.826,8.011
"","Lower working",52.585,27.513,19.964
