"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working","neet","neet",,,"2014-2025",22.844,20.644,25.271,1352,"Average","3-year moving average","2014 to 2016"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working","neet","neet",,,"2014-2025",22.092,19.867,24.521,1248,"Average","3-year moving average","2015 to 2017"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower working","neet","neet",,,"2014-2025",21.532,19.242,24.067,1110,"Average","3-year moving average","2016 to 2018"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower working","neet","neet",,,"2014-2025",20.352,18.02,22.948,1010,"Average","3-year moving average","2017 to 2019"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working","neet","neet",,,"2014-2025",20.775,18.344,23.511,827,"Average","3-year moving average","2018 to 2020"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working","neet","neet",,,"2014-2025",20.797,18.347,23.5,753,"Average","3-year moving average","2019 to 2021"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working","neet","neet",,,"2014-2025",20.769,18.359,23.433,651,"Average","3-year moving average","2020 to 2022"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working","neet","neet",,,"2014-2025",20.959,18.468,23.581,574,"Average","3-year moving average","2021 to 2023"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower working","neet","neet",,,"2014-2025",21.987,19.541,24.665,524,"Average","3-year moving average","2022 to 2024"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower working","neet","neet",,,"2014-2025",23.572,21.118,26.213,582,"Average","3-year moving average","2023 to 2025"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher working","neet","neet",,,"2014-2025",15.252,13.301,17.354,1287,"Average","3-year moving average","2014 to 2016"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher working","neet","neet",,,"2014-2025",13.993,12.099,16.051,1211,"Average","3-year moving average","2015 to 2017"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher working","neet","neet",,,"2014-2025",13.746,11.807,15.852,1103,"Average","3-year moving average","2016 to 2018"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher working","neet","neet",,,"2014-2025",14.594,12.633,16.842,1056,"Average","3-year moving average","2017 to 2019"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher working","neet","neet",,,"2014-2025",14.223,12.265,16.483,915,"Average","3-year moving average","2018 to 2020"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher working","neet","neet",,,"2014-2025",13.141,11.142,15.402,794,"Average","3-year moving average","2019 to 2021"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher working","neet","neet",,,"2014-2025",12.096,10.099,14.529,608,"Average","3-year moving average","2020 to 2022"
