"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Lower working","neet","neet",,,"2014-2025",22.844,20.644,25.271,1352,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Higher working","neet","neet",,,"2014-2025",15.252,13.301,17.354,1287,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Intermediate","neet","neet",,,"2014-2025",12.704,10.979,14.583,1399,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Lower professional","neet","neet",,,"2014-2025",10.15,8.583,11.929,1346,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Higher professional","neet","neet",,,"2014-2025",8.511,6.942,10.342,1129,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Lower working","neet","neet",,,"2014-2025",22.092,19.867,24.521,1248,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Higher working","neet","neet",,,"2014-2025",13.993,12.099,16.051,1211,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Intermediate","neet","neet",,,"2014-2025",11.828,10.137,13.679,1304,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Lower professional","neet","neet",,,"2014-2025",9.914,8.378,11.694,1287,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Higher professional","neet","neet",,,"2014-2025",8.642,7.073,10.445,1123,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Lower working","neet","neet",,,"2014-2025",21.532,19.242,24.067,1110,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Higher working","neet","neet",,,"2014-2025",13.746,11.807,15.852,1103,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Intermediate","neet","neet",,,"2014-2025",11.307,9.654,13.23,1191,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Lower professional","neet","neet",,,"2014-2025",10.423,8.814,12.243,1205,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Higher professional","neet","neet",,,"2014-2025",8.546,7.022,10.372,1086,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Lower working","neet","neet",,,"2014-2025",20.352,18.02,22.948,1010,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Higher working","neet","neet",,,"2014-2025",14.594,12.633,16.842,1056,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Intermediate","neet","neet",,,"2014-2025",11.552,9.856,13.516,1139,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Lower professional","neet","neet",,,"2014-2025",10.641,9.001,12.468,1171,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Higher professional","neet","neet",,,"2014-2025",8.958,7.382,10.828,1045,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Lower working","neet","neet",,,"2014-2025",20.775,18.344,23.511,827,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Higher working","neet","neet",,,"2014-2025",14.223,12.265,16.483,915,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Intermediate","neet","neet",,,"2014-2025",11.662,9.883,13.632,988,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Lower professional","neet","neet",,,"2014-2025",11.127,9.523,12.997,1096,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Higher professional","neet","neet",,,"2014-2025",9.394,7.814,11.19,1022,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Lower working","neet","neet",,,"2014-2025",20.797,18.347,23.5,753,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Higher working","neet","neet",,,"2014-2025",13.141,11.142,15.402,794,"Average","3-year moving average"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Intermediate","neet","neet",,,"2014-2025",12.001,10.225,14.044,950,"Average","3-year moving average"
