"Year","Lower working (%)","Higher working (%)","Intermediate (%)","Lower professional (%)","Higher professional (%)","Total (%)"
"2023 to 2025",24.427,32.051,36.137,40.896,46.589,36.796
"2022 to 2024",25.013,32.049,34.334,41.635,48.499,37.218
"2021 to 2023",23.463,33.967,33.911,40.126,50.025,37.304
"2020 to 2022",19.726,34.08,33.597,38.028,47.948,35.668
"2019 to 2021",18.877,31.111,32.995,38.465,48.624,35.062
"2018 to 2020",19.502,27.365,30.432,41.124,46.693,33.85
"2017 to 2019",20.09,24.423,28.778,40.902,46.475,32.429
"2016 to 2018",19.721,23.887,30.553,39.322,44.269,31.588
"2015 to 2017",18.317,23.01,30.812,36.055,42.721,30.028
"2014 to 2016",16.291,20.545,29.458,36.614,43.906,28.987
