"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Higher professional",,,,,"2025",2.818,1.653,4.578,575,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Lower professional",,,,,"2025",3.349,2.074,5.124,608,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Intermediate",,,,,"2025",9.879,7.757,12.622,624,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Higher working",,,,,"2025",11.444,8.489,15.1,386,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Lower working",,,,,"2025",17.375,14.122,21.321,453,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Higher professional",,,,,"2025",5.574,3.897,7.851,575,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Lower professional",,,,,"2025",8.678,6.654,11.318,608,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Intermediate",,,,,"2025",11.953,9.625,14.893,624,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Higher working",,,,,"2025",17.79,14.258,22.148,386,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Lower working",,,,,"2025",17.188,13.92,21.085,453,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Higher professional",,,,,"2025",16.168,13.31,19.499,575,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Lower professional",,,,,"2025",21.241,18.076,24.729,608,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Intermediate",,,,,"2025",21.504,18.357,24.95,624,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Higher working",,,,,"2025",25.492,21.183,30.094,386,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Lower working",,,,,"2025",23.523,19.838,27.859,453,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","Further education below degree","seb","Higher professional",,,,,"2025",3.456,2.194,5.415,575,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","Further education below degree","seb","Lower professional",,,,,"2025",6.718,4.939,9.113,608,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","Further education below degree","seb","Intermediate",,,,,"2025",5.55,3.993,7.792,624,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","Further education below degree","seb","Higher working",,,,,"2025",5.658,3.689,8.63,386,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","Further education below degree","seb","Lower working",,,,,"2025",7.482,5.327,10.431,453,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","First degree","seb","Higher professional",,,,,"2025",46.05,41.966,50.261,575,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","First degree","seb","Lower professional",,,,,"2025",38.346,34.463,42.332,608,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","First degree","seb","Intermediate",,,,,"2025",30.74,27.198,34.581,624,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","First degree","seb","Higher working",,,,,"2025",27.668,23.369,32.523,386,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","First degree","seb","Lower working",,,,,"2025",23.152,19.425,27.396,453,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","Higher degree","seb","Higher professional",,,,,"2025",25.933,22.417,29.736,575,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","Higher degree","seb","Lower professional",,,,,"2025",21.668,18.539,25.246,608,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","Higher degree","seb","Intermediate",,,,,"2025",20.374,17.304,23.773,624,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","Higher degree","seb","Higher working",,,,,"2025",11.949,8.941,15.673,386,"Percent",
"in23","Highest qualification","seb","K02000001","country","United Kingdom","edu","Higher degree","seb","Lower working",,,,,"2025",11.28,8.57,14.622,453,"Percent",
