"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Higher professional","disability","Yes",,,"2014 to 2019",6.345,4.108,9.581,347,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Higher professional","disability","No",,,"2014 to 2019",3.111,2.547,3.821,3042,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Lower professional","disability","Yes",,,"2014 to 2019",10.591,8.146,13.848,487,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Lower professional","disability","No",,,"2014 to 2019",4.944,4.265,5.705,3626,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Intermediate","disability","Yes",,,"2014 to 2019",16.426,13.583,19.689,597,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Intermediate","disability","No",,,"2014 to 2019",11.813,10.884,12.827,4348,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Higher working","disability","Yes",,,"2014 to 2019",23.454,20.005,27.216,555,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Higher working","disability","No",,,"2014 to 2019",12.788,11.716,13.93,3583,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Lower working","disability","Yes",,,"2014 to 2019",31.201,28.151,34.507,845,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Lower working","disability","No",,,"2014 to 2019",21.463,20.119,22.875,3480,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Higher professional","disability","Yes",,,"2014 to 2019",8.523,6.002,12.238,347,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Higher professional","disability","No",,,"2014 to 2019",5.53,4.75,6.409,3042,"Percent",
