"Socio-economic background","Disability","Lower level (below CSE grade 1) (%)","O level, GCSE and equivalent (%)","A level and equivalent (%)","Further education below degree (%)","First degree (%)","Higher degree (%)"
"Higher professional","Yes",6.153,8.228,20.518,6.868,36.198,22.034
"","No",2.827,5.02,15.766,5.046,46.454,24.888
"Lower professional","Yes",8.851,13.06,23.452,6.876,31.052,16.709
"","No",4.124,7.483,21.29,6.91,40.805,19.388
"Intermediate","Yes",13.049,17.864,27.849,6.956,22.938,11.343
"","No",9.63,10.979,26.399,6.979,32.656,13.356
"Higher working","Yes",19.265,21.366,28.111,6.566,20.489,4.204
"","No",10.986,14.52,30.846,7.772,26.219,9.657
"Lower working","Yes",26.987,24.745,25.622,6.656,12.697,3.293
"","No",18.038,17.157,30.132,6.88,21.055,6.738
