"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Higher professional","ethnicity","Bangladeshi",,,"2020-2025",89.842,83.182,94.053,,"Percent",
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Lower working","ethnicity","Bangladeshi",,,"2020-2025",57.441,43.073,70.653,,"Percent",
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Higher professional","ethnicity","Chinese",,,"2020-2025",94.394,89.43,97.102,,"Percent",
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Lower working","ethnicity","Chinese",,,"2020-2025",71.986,56.374,83.632,,"Percent",
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Higher professional","ethnicity","Indian",,,"2020-2025",87.773,83.756,90.905,,"Percent",
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Lower working","ethnicity","Indian",,,"2020-2025",52.28,43.979,60.457,,"Percent",
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Higher professional","ethnicity","Pakistani",,,"2020-2025",78.092,71.838,83.28,,"Percent",
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Lower working","ethnicity","Pakistani",,,"2020-2025",35.232,27.95,43.273,,"Percent",
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Higher professional","ethnicity","Black African",,,"2020-2025",83.72,78.052,88.147,,"Percent",
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Lower working","ethnicity","Black African",,,"2020-2025",43.971,35.239,53.093,,"Percent",
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Higher professional","ethnicity","Black Caribbean",,,"2020-2025",62.402,50.701,72.815,,"Percent",
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Lower working","ethnicity","Black Caribbean",,,"2020-2025",20.21,13.531,29.076,,"Percent",
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Higher professional","ethnicity","Mixed",,,"2020-2025",73.86,67.613,79.272,,"Percent",
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Lower working","ethnicity","Mixed",,,"2020-2025",30.129,24.05,36.995,,"Percent",
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Higher professional","ethnicity","White British",,,"2020-2025",65.54,63.097,67.903,,"Percent",
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Lower working","ethnicity","White British",,,"2020-2025",22.495,20.415,24.722,,"Percent",
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Higher professional","ethnicity","White other",,,"2020-2025",77.552,73.72,80.97,,"Percent",
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Lower working","ethnicity","White other",,,"2020-2025",34.522,29.838,39.526,,"Percent",
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Higher professional","ethnicity","Other",,,"2020-2025",80.202,75.365,84.287,,"Percent",
"in23","Highest qualification","ethnicity_time_comparison","K02000001","country","United Kingdom","edu",,"seb","Lower working","ethnicity","Other",,,"2020-2025",38.204,31.684,45.178,,"Percent",
