"Ethnicity","Lower working","","","Higher professional","",""
"","2014-2019 (%)","2020-2025 (%)","2014-2025 (combined) (%)","2014-2019 (%)","2020-2025 (%)","2014-2025 (combined) (%)"
"Bangladeshi","24.943","57.441","38.4","72.229","89.842","81.878"
"Chinese","54.346","71.986","62.421","90.307","94.394","92.331"
"Indian","46.779","52.28","49.541","87.308","87.773","87.679"
"Pakistani","25.331","35.232","29.851","72.641","78.092","75.515"
"Black African","24.95","43.971","34.971","72.237","83.72","79.582"
"Black Caribbean","17.662","20.21","18.87","62.67","62.402","62.767"
"Mixed","25.366","30.129","27.878","72.678","73.86","73.695"
"White British","16.156","22.495","19.079","60.129","65.54","63.084"
"White other","22.765","34.522","27.129","69.76","77.552","72.96"
"Other","27.571","38.204","32.652","74.87","80.202","77.846"
