"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Higher professional","sex","Men",,,"2014 to 2019",3.704,2.865,4.801,1587,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Higher professional","sex","Women",,,"2014 to 2019",3.121,2.406,4.076,1816,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Lower professional","sex","Men",,,"2014 to 2019",6.572,5.53,7.807,1915,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Lower professional","sex","Women",,,"2014 to 2019",4.665,3.834,5.64,2212,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Intermediate","sex","Men",,,"2014 to 2019",14.123,12.755,15.608,2358,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Intermediate","sex","Women",,,"2014 to 2019",10.654,9.518,11.927,2607,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Higher working","sex","Men",,,"2014 to 2019",16.303,14.681,18.041,1915,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Higher working","sex","Women",,,"2014 to 2019",12.163,10.843,13.596,2238,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Lower working","sex","Men",,,"2014 to 2019",26.402,24.449,28.399,1960,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Lower level (below CSE grade 1)","seb","Lower working","sex","Women",,,"2014 to 2019",20.345,18.74,22.01,2386,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Higher professional","sex","Men",,,"2014 to 2019",7.169,5.985,8.594,1587,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Higher professional","sex","Women",,,"2014 to 2019",4.433,3.578,5.54,1816,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Lower professional","sex","Men",,,"2014 to 2019",9.194,7.953,10.595,1915,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Lower professional","sex","Women",,,"2014 to 2019",8.039,6.964,9.279,2212,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Intermediate","sex","Men",,,"2014 to 2019",13.6,12.268,15.079,2358,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Intermediate","sex","Women",,,"2014 to 2019",11.967,10.759,13.29,2607,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Higher working","sex","Men",,,"2014 to 2019",16.615,14.981,18.366,1915,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Higher working","sex","Women",,,"2014 to 2019",14.32,12.888,15.833,2238,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Lower working","sex","Men",,,"2014 to 2019",17.226,15.612,19.007,1960,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Lower working","sex","Women",,,"2014 to 2019",18.994,17.442,20.63,2386,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Higher professional","sex","Men",,,"2014 to 2019",19.943,17.99,21.981,1587,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Higher professional","sex","Women",,,"2014 to 2019",15.818,14.172,17.582,1816,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Lower professional","sex","Men",,,"2014 to 2019",26.315,24.37,28.364,1915,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Lower professional","sex","Women",,,"2014 to 2019",20.34,18.696,22.095,2212,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Intermediate","sex","Men",,,"2014 to 2019",29.187,27.357,31.066,2358,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Intermediate","sex","Women",,,"2014 to 2019",27.869,26.18,29.659,2607,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Higher working","sex","Men",,,"2014 to 2019",34.066,31.933,36.226,1915,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Higher working","sex","Women",,,"2014 to 2019",32.876,30.949,34.883,2238,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Lower working","sex","Men",,,"2014 to 2019",30.548,28.536,32.663,1960,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Lower working","sex","Women",,,"2014 to 2019",30.752,28.923,32.666,2386,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Higher professional","sex","Men",,,"2014 to 2019",6.295,5.179,7.64,1587,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Higher professional","sex","Women",,,"2014 to 2019",6.058,5.025,7.28,1816,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Lower professional","sex","Men",,,"2014 to 2019",8.167,6.979,9.485,1915,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Lower professional","sex","Women",,,"2014 to 2019",7.832,6.753,9.038,2212,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Intermediate","sex","Men",,,"2014 to 2019",6.84,5.859,7.94,2358,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Intermediate","sex","Women",,,"2014 to 2019",7.395,6.442,8.492,2607,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Higher working","sex","Men",,,"2014 to 2019",6.493,5.434,7.695,1915,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Higher working","sex","Women",,,"2014 to 2019",7.846,6.799,9.077,2238,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Lower working","sex","Men",,,"2014 to 2019",6.4,5.355,7.574,1960,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Lower working","sex","Women",,,"2014 to 2019",7.551,6.532,8.696,2386,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","First degree","seb","Higher professional","sex","Men",,,"2014 to 2019",41.237,38.781,43.682,1587,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","First degree","seb","Higher professional","sex","Women",,,"2014 to 2019",45.583,43.288,47.92,1816,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","First degree","seb","Lower professional","sex","Men",,,"2014 to 2019",34.524,32.395,36.702,1915,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","First degree","seb","Lower professional","sex","Women",,,"2014 to 2019",41.58,39.531,43.681,2212,"Percent",
"in23","Highest qualification","sex_time_comparison","K02000001","country","United Kingdom","edu","First degree","seb","Intermediate","sex","Men",,,"2014 to 2019",26.244,24.494,28.086,2358,"Percent",
