"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",13.423,11.291,15.895,895,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",12.318,10.286,14.766,842,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",12.23,10.159,14.717,775,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",11.392,9.37,13.757,762,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Intermediate","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",10.62,8.59,12.947,653,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Intermediate","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",9.446,7.606,11.737,642,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Intermediate","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",7.914,6.133,9.993,550,"Average","3-year moving average","2020 to 2022"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",8.035,6.258,10.194,490,"Average","3-year moving average","2021 to 2023"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",7.024,5.359,9.069,425,"Average","3-year moving average","2022 to 2024"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Intermediate","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",7.666,6.026,9.824,466,"Average","3-year moving average","2023 to 2025"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",13.571,11.395,16.015,895,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",12.823,10.707,15.256,842,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",12.661,10.488,15.1,775,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",11.976,9.907,14.387,762,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Intermediate","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",10.842,8.814,13.213,653,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Intermediate","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",9.049,7.168,11.207,642,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Intermediate","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",9.948,8.032,12.311,550,"Average","3-year moving average","2020 to 2022"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",11.808,9.699,14.346,490,"Average","3-year moving average","2021 to 2023"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",12.681,10.515,15.303,425,"Average","3-year moving average","2022 to 2024"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Intermediate","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",12.495,10.349,15.012,466,"Average","3-year moving average","2023 to 2025"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","highest_qualification","A level and equivalent",,,"2014-2025",27.215,24.32,30.283,895,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","highest_qualification","A level and equivalent",,,"2014-2025",27.582,24.66,30.689,842,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","highest_qualification","A level and equivalent",,,"2014-2025",28.765,25.791,32.024,775,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","highest_qualification","A level and equivalent",,,"2014-2025",29.841,26.78,33.029,762,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Intermediate","highest_qualification","A level and equivalent",,,"2014-2025",27.854,24.888,31.167,653,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Intermediate","highest_qualification","A level and equivalent",,,"2014-2025",27.488,24.463,30.672,642,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Intermediate","highest_qualification","A level and equivalent",,,"2014-2025",25.486,22.485,28.627,550,"Average","3-year moving average","2020 to 2022"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","highest_qualification","A level and equivalent",,,"2014-2025",25.478,22.464,28.67,490,"Average","3-year moving average","2021 to 2023"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","highest_qualification","A level and equivalent",,,"2014-2025",23.914,21.007,27.089,425,"Average","3-year moving average","2022 to 2024"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Intermediate","highest_qualification","A level and equivalent",,,"2014-2025",23.309,20.455,26.369,466,"Average","3-year moving average","2023 to 2025"
