"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",6.262,4.683,8.408,691,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",5.274,3.869,7.288,684,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",5.342,3.858,7.209,677,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",5.041,3.71,6.937,685,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",4.557,3.306,6.298,631,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",3.938,2.737,5.548,613,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",3.747,2.6,5.335,551,"Average","3-year moving average","2020 to 2022"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",4.313,2.979,6.03,452,"Average","3-year moving average","2021 to 2023"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",5.06,3.618,6.881,394,"Average","3-year moving average","2022 to 2024"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",4.545,3.19,6.25,435,"Average","3-year moving average","2023 to 2025"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower professional","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",8.977,7.02,11.361,691,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower professional","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",9.097,7.099,11.401,684,"Average","3-year moving average","2015 to 2017"
