"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",23.511,20.598,26.731,786,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",22.987,20.118,26.189,756,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower working","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",23.434,20.447,26.702,698,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower working","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",23.017,20.004,26.271,666,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",20.737,17.804,24.093,546,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",19.761,16.835,23.039,505,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",18.364,15.509,21.746,414,"Average","3-year moving average","2020 to 2022"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",18.166,15.236,21.378,365,"Average","3-year moving average","2021 to 2023"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower working","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",15.118,12.464,18.226,310,"Average","3-year moving average","2022 to 2024"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower working","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",14.78,12.243,17.843,340,"Average","3-year moving average","2023 to 2025"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",18.075,15.415,20.99,786,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",18.058,15.456,21.02,756,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower working","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",17.364,14.674,20.279,698,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower working","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",18.084,15.31,21.048,666,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",17.512,14.729,20.63,546,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",16.975,14.303,20.174,505,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",18.31,15.36,21.577,414,"Average","3-year moving average","2020 to 2022"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working","highest_qualification","O level, GCSE and equivalent",,,"2014-2025",21.258,18.181,24.693,365,"Average","3-year moving average","2021 to 2023"
