"Year","Lower working","","","","","","Higher working","","","","","","Intermediate","","","","","","Lower professional","","","","","","Higher professional","","","","","","Total","","","","",""
"","Lower level (below CSE grade 1) (%)","O level, GCSE and equivalent (%)","A level and equivalent (%)","Further education below degree (%)","First degree (%)","Higher degree (%)","Lower level (below CSE grade 1) (%)","O level, GCSE and equivalent (%)","A level and equivalent (%)","Further education below degree (%)","First degree (%)","Higher degree (%)","Lower level (below CSE grade 1) (%)","O level, GCSE and equivalent (%)","A level and equivalent (%)","Further education below degree (%)","First degree (%)","Higher degree (%)","Lower level (below CSE grade 1) (%)","O level, GCSE and equivalent (%)","A level and equivalent (%)","Further education below degree (%)","First degree (%)","Higher degree (%)","Lower level (below CSE grade 1) (%)","O level, GCSE and equivalent (%)","A level and equivalent (%)","Further education below degree (%)","First degree (%)","Higher degree (%)","Lower level (below CSE grade 1) (%)","O level, GCSE and equivalent (%)","A level and equivalent (%)","Further education below degree (%)","First degree (%)","Higher degree (%)"
"2023 to 2025","14.78","21.489","24.31","7.534","24.54","7.131","9.44","17.589","24.368","8.134","25.731","14.737","7.666","12.495","23.309","6.365","33","16.94","4.545","7.157","18.559","6.605","40.923","22.211","3.345","5.811","14.676","3.485","45.89","26.786","7.7","12.426","20.857","6.329","34.667","17.933"
"2022 to 2024","15.118","23.064","24.648","7.002","24.197","5.709","9.085","17.646","23.939","8.567","25.984","14.78","7.024","12.681","23.914","7.208","33.427","15.522","5.06","7.66","17.85","5.867","40.703","22.86","3.285","5.38","13.852","4.017","48.197","25.262","7.65","12.781","20.66","6.437","35.177","17.202"
"2021 to 2023","18.166","21.258","25.225","6.657","22.922","5.49","9.414","14.966","26.693","8.548","27.401","12.935","8.035","11.808","25.478","6.985","32.13","15.336","4.313","8.311","19.171","5.899","38.897","23.41","2.958","4.122","14.912","4.203","48.079","25.72","8.258","11.691","22.04","6.353","34.491","17.064"
"2020 to 2022","18.364","18.31","29.992","5.569","20.578","7.069","10.386","14.42","28.393","7.992","29.063","9.706","7.914","9.948","25.486","7.488","34.234","14.883","3.747","8.95","21.297","5.226","40.229","20.551","2.916","4.477","15.503","5.511","47.21","24.382","8.133","10.763","23.699","6.302","35.105","15.966"
"2019 to 2021","19.761","16.975","31.106","6.055","18.917","7.12","10.561","14.059","31.124","7.503","28.054","8.661","9.446","9.049","27.488","7.732","33.537","12.638","3.938","8.158","21.239","6.919","40.811","18.934","3.104","4.677","17.071","5.645","43.876","25.628","8.999","10.256","25.269","6.788","33.666","14.983"
"2018 to 2020","20.737","17.512","31.214","6.72","17.41","6.332","13.05","14.919","32.336","7.121","25.738","6.727","10.62","10.842","27.854","8.051","30.252","12.182","4.557","7.784","22.796","7.533","39.786","17.544","2.716","5.406","17.452","6.293","43.609","24.523","10.023","11.067","26.151","7.187","31.804","13.695"
"2017 to 2019","23.017","18.084","30.42","6.91","15.864","5.489","14.045","14.182","33.956","7.247","24.402","6.03","11.392","11.976","29.841","7.404","28.308","10.847","5.041","8.291","23.044","8.198","37.996","17.399","2.54","5.662","18.547","6.31","42.596","24.344","11.186","11.643","27.234","7.247","29.823","12.749"
"2016 to 2018","23.434","17.364","31.333","6.5","16.387","4.778","14.825","14.082","33.821","7.242","24.103","5.764","12.23","12.661","28.765","6.763","28.899","10.562","5.342","8.946","23.847","7.432","37.842","16.559","2.969","6.235","18.119","6.875","42.186","23.579","11.941","11.996","27.427","6.962","29.616","11.952"
"2015 to 2017","22.987","18.058","30.735","6.916","16.3","4.721","14.354","14.692","33.085","7.32","23.658","6.803","12.318","12.823","27.582","6.775","30.339","10.127","5.274","9.097","23.039","7.16","38.346","17.05","3.59","6.364","17.899","6.112","42.212","23.757","12.056","12.448","26.807","6.875","29.708","12.012"
"2014 to 2016","23.511","18.075","30.726","7.021","16.163","4.313","14.412","16.663","32.939","7.066","22.636","6.223","13.423","13.571","27.215","6.799","29.185","9.789","6.262","8.977","23.665","7.779","38.067","15.25","4.431","6.009","17.166","6.018","44.27","22.037","12.895","13.03","26.799","6.964","29.302","10.947"
