"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher professional","year",2016,,,,,"2014 to 2016",12.481,11.688,13.328,1002,"Pounds","Mean hourly earnings","2014 to 2016"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher professional","year",2017,,,,,"2015 to 2017",12.934,12.118,13.805,962,"Pounds","Mean hourly earnings","2015 to 2017"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher professional","year",2018,,,,,"2016 to 2018",13.727,12.837,14.678,831,"Pounds","Mean hourly earnings","2016 to 2018"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher professional","year",2019,,,,,"2017 to 2019",13.489,12.569,14.476,889,"Pounds","Mean hourly earnings","2017 to 2019"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher professional","year",2020,,,,,"2018 to 2020",13.149,12.113,14.272,671,"Pounds","Mean hourly earnings","2018 to 2020"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher professional","year",2021,,,,,"2019 to 2021",13.317,12.205,14.531,807,"Pounds","Mean hourly earnings","2019 to 2021"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher professional","year",2022,,,,,"2020 to 2022",13.575,12.365,14.903,597,"Pounds","Mean hourly earnings","2020 to 2022"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher professional","year",2023,,,,,"2021 to 2023",14.434,13.109,15.893,371,"Pounds","Mean hourly earnings","2021 to 2023"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher professional","year",2024,,,,,"2022 to 2024",15.154,13.682,16.784,569,"Pounds","Mean hourly earnings","2022 to 2024"
"in36","Direct effect of social origins on hourly earnings","trend","K02000001","country","United Kingdom","payhour_inflation_adjusted","Higher professional","year",2025,,,,,"2023 to 2025",15.309,13.784,17.003,689,"Pounds","Mean hourly earnings","2023 to 2025"
