"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Bedfordshire and Hertfordshire","payhour_inflation_adjusted","1","itl2_adolescent_geo","Bedfordshire and Hertfordshire","quintile",5,,,"2018-2025",0.994,-0.309,2.296,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Berkshire, Buckinghamshire and Oxfordshire","payhour_inflation_adjusted","1","itl2_adolescent_geo","Berkshire, Buckinghamshire and Oxfordshire","quintile",5,,,"2018-2025",1.994,0.961,3.027,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Cheshire","payhour_inflation_adjusted","1","itl2_adolescent_geo","Cheshire","quintile",2,,,"2018-2025",-0.51,-2.209,1.19,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Cornwall and Isles of Scilly","payhour_inflation_adjusted","1","itl2_adolescent_geo","Cornwall and Isles of Scilly","quintile",3,,,"2018-2025",-0.154,-2.248,1.94,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Cumbria","payhour_inflation_adjusted","1","itl2_adolescent_geo","Cumbria","quintile",3,,,"2018-2025",0.155,-1.802,2.113,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Derbyshire and Nottinghamshire","payhour_inflation_adjusted","1","itl2_adolescent_geo","Derbyshire and Nottinghamshire","quintile",2,,,"2018-2025",-0.743,-1.821,0.336,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Devon","payhour_inflation_adjusted","1","itl2_adolescent_geo","Devon","quintile",3,,,"2018-2025",-0.341,-1.963,1.281,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Dorset and Somerset","payhour_inflation_adjusted","1","itl2_adolescent_geo","Dorset and Somerset","quintile",4,,,"2018-2025",0.639,-0.788,2.066,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","East Anglia","payhour_inflation_adjusted","1","itl2_adolescent_geo","East Anglia","quintile",3,,,"2018-2025",-0.442,-1.527,0.644,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","East Wales","payhour_inflation_adjusted","1","itl2_adolescent_geo","East Wales","quintile",3,,,"2018-2025",-0.157,-1.666,1.353,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","East Yorkshire and Northern Lincolnshire","payhour_inflation_adjusted","1","itl2_adolescent_geo","East Yorkshire and Northern Lincolnshire","quintile",1,,,"2018-2025",-0.931,-2.591,0.73,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Eastern Scotland","payhour_inflation_adjusted","1","itl2_adolescent_geo","Eastern Scotland","quintile",1,,,"2018-2025",-2.061,-3.321,-0.802,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Essex","payhour_inflation_adjusted","1","itl2_adolescent_geo","Essex","quintile",3,,,"2018-2025",-0.11,-1.343,1.124,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Gloucestershire, Wiltshire and Bath/Bristol area","payhour_inflation_adjusted","1","itl2_adolescent_geo","Gloucestershire, Wiltshire and Bath/Bristol area","quintile",2,,,"2018-2025",-0.659,-1.702,0.384,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Greater Manchester","payhour_inflation_adjusted","1","itl2_adolescent_geo","Greater Manchester","quintile",2,,,"2018-2025",-0.709,-1.84,0.422,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Hampshire and Isle of Wight","payhour_inflation_adjusted","1","itl2_adolescent_geo","Hampshire and Isle of Wight","quintile",4,,,"2018-2025",0.382,-0.791,1.555,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Herefordshire, Worcestershire and Warwickshire","payhour_inflation_adjusted","1","itl2_adolescent_geo","Herefordshire, Worcestershire and Warwickshire","quintile",5,,,"2018-2025",1.436,0.102,2.769,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Highlands and Islands","payhour_inflation_adjusted","1","itl2_adolescent_geo","Highlands and Islands","quintile",3,,,"2018-2025",-0.306,-2.609,1.997,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Inner London - East","payhour_inflation_adjusted","1","itl2_adolescent_geo","Inner London - East","quintile",5,,,"2018-2025",1.101,-0.151,2.353,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Inner London - West","payhour_inflation_adjusted","1","itl2_adolescent_geo","Inner London - West","quintile",4,,,"2018-2025",0.164,-1.867,2.195,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Kent","payhour_inflation_adjusted","1","itl2_adolescent_geo","Kent","quintile",4,,,"2018-2025",0.195,-0.952,1.341,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Lancashire","payhour_inflation_adjusted","1","itl2_adolescent_geo","Lancashire","quintile",1,,,"2018-2025",-1.196,-2.504,0.112,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Leicestershire, Rutland and Northamptonshire","payhour_inflation_adjusted","1","itl2_adolescent_geo","Leicestershire, Rutland and Northamptonshire","quintile",4,,,"2018-2025",0.743,-0.559,2.045,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Lincolnshire","payhour_inflation_adjusted","1","itl2_adolescent_geo","Lincolnshire","quintile",2,,,"2018-2025",-0.672,-2.62,1.277,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Merseyside","payhour_inflation_adjusted","1","itl2_adolescent_geo","Merseyside","quintile",2,,,"2018-2025",-0.466,-1.84,0.908,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","North Eastern Scotland","payhour_inflation_adjusted","1","itl2_adolescent_geo","North Eastern Scotland","quintile",4,,,"2018-2025",0.839,-1.508,3.186,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","North Yorkshire","payhour_inflation_adjusted","1","itl2_adolescent_geo","North Yorkshire","quintile",4,,,"2018-2025",0.238,-1.435,1.911,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Northern Ireland","payhour_inflation_adjusted","1","itl2_adolescent_geo","Northern Ireland","quintile",1,,,"2018-2025",-1.603,-2.886,-0.32,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Northumberland, and Tyne and Wear","payhour_inflation_adjusted","1","itl2_adolescent_geo","Northumberland, and Tyne and Wear","quintile",1,,,"2018-2025",-1,-2.388,0.388,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Outer London - East and North East","payhour_inflation_adjusted","1","itl2_adolescent_geo","Outer London - East and North East","quintile",5,,,"2018-2025",2.655,1.352,3.958,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Outer London - South","payhour_inflation_adjusted","1","itl2_adolescent_geo","Outer London - South","quintile",5,,,"2018-2025",1.461,-0.324,3.246,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Outer London - West and North West","payhour_inflation_adjusted","1","itl2_adolescent_geo","Outer London - West and North West","quintile",5,,,"2018-2025",3.3,1.999,4.601,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Shropshire and Staffordshire","payhour_inflation_adjusted","1","itl2_adolescent_geo","Shropshire and Staffordshire","quintile",3,,,"2018-2025",0.021,-1.222,1.265,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","South Yorkshire","payhour_inflation_adjusted","1","itl2_adolescent_geo","South Yorkshire","quintile",1,,,"2018-2025",-1.172,-2.642,0.297,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Southern Scotland","payhour_inflation_adjusted","1","itl2_adolescent_geo","Southern Scotland","quintile",2,,,"2018-2025",-0.634,-2.355,1.088,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Surrey, East and West Sussex","payhour_inflation_adjusted","1","itl2_adolescent_geo","Surrey, East and West Sussex","quintile",5,,,"2018-2025",0.897,-0.209,2.003,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","Tees Valley and Durham","payhour_inflation_adjusted","1","itl2_adolescent_geo","Tees Valley and Durham","quintile",1,,,"2018-2025",-1.79,-3.357,-0.223,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","West Central Scotland","payhour_inflation_adjusted","1","itl2_adolescent_geo","West Central Scotland","quintile",4,,,"2018-2025",0.587,-0.776,1.95,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","West Midlands","payhour_inflation_adjusted","1","itl2_adolescent_geo","West Midlands","quintile",1,,,"2018-2025",-0.823,-1.764,0.118,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","West Wales and The Valleys","payhour_inflation_adjusted","1","itl2_adolescent_geo","West Wales and The Valleys","quintile",2,,,"2018-2025",-0.47,-1.586,0.647,,"Pound sterling","Random effect from a linear mixed-effects model"
"in34","Earnings of young people","geography_caterpillar",,"ITL2","West Yorkshire","payhour_inflation_adjusted","1","itl2_adolescent_geo","West Yorkshire","quintile",1,,,"2018-2025",-0.851,-1.966,0.264,,"Pound sterling","Random effect from a linear mixed-effects model"
