"Region","Difference compared to average (£)"
"Bedfordshire and Hertfordshire",0.994
"Berkshire, Buckinghamshire and Oxfordshire",1.994
"Cheshire",-0.51
"Cornwall and Isles of Scilly",-0.154
"Cumbria",0.155
"Derbyshire and Nottinghamshire",-0.743
"Devon",-0.341
"Dorset and Somerset",0.639
"East Anglia",-0.442
"East Wales",-0.157
"East Yorkshire and Northern Lincolnshire",-0.931
"Eastern Scotland",-2.061
"Essex",-0.11
"Gloucestershire, Wiltshire and Bath/Bristol area",-0.659
"Greater Manchester",-0.709
"Hampshire and Isle of Wight",0.382
"Herefordshire, Worcestershire and Warwickshire",1.436
"Highlands and Islands",-0.306
"Inner London - East",1.101
"Inner London - West",0.164
"Kent",0.195
"Lancashire",-1.196
"Leicestershire, Rutland and Northamptonshire",0.743
"Lincolnshire",-0.672
"Merseyside",-0.466
"North Eastern Scotland",0.839
"North Yorkshire",0.238
"Northern Ireland",-1.603
"Northumberland, and Tyne and Wear",-1
"Outer London - East and North East",2.655
"Outer London - South",1.461
"Outer London - West and North West",3.3
"Shropshire and Staffordshire",0.021
"South Yorkshire",-1.172
"Southern Scotland",-0.634
"Surrey, East and West Sussex",0.897
"Tees Valley and Durham",-1.79
"West Central Scotland",0.587
"West Midlands",-0.823
"West Wales and The Valleys",-0.47
"West Yorkshire",-0.851
