"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher professional",,,,,"2014-2025",19.189,17.915,20.463,166,"Average","3-year moving average","2014 to 2016"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher professional",,,,,"2014-2025",18.963,17.799,20.127,185,"Average","3-year moving average","2015 to 2017"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher professional",,,,,"2014-2025",19.605,18.349,20.861,156,"Average","3-year moving average","2016 to 2018"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher professional",,,,,"2014-2025",20.225,18.739,21.71,193,"Average","3-year moving average","2017 to 2019"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher professional",,,,,"2014-2025",20.668,19.081,22.255,162,"Average","3-year moving average","2018 to 2020"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher professional",,,,,"2014-2025",20.917,19.361,22.473,189,"Average","3-year moving average","2019 to 2021"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher professional",,,,,"2014-2025",20.431,18.969,21.893,144,"Average","3-year moving average","2020 to 2022"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher professional",,,,,"2014-2025",20.524,18.999,22.048,88,"Average","3-year moving average","2021 to 2023"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher professional",,,,,"2014-2025",20.243,18.691,21.795,123,"Average","3-year moving average","2022 to 2024"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Higher professional",,,,,"2014-2025",20.36,18.947,21.772,164,"Average","3-year moving average","2023 to 2025"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower professional",,,,,"2014-2025",17.651,16.36,18.942,204,"Average","3-year moving average","2014 to 2016"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower professional",,,,,"2014-2025",17.833,16.64,19.027,199,"Average","3-year moving average","2015 to 2017"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower professional",,,,,"2014-2025",17.992,16.912,19.071,202,"Average","3-year moving average","2016 to 2018"
