"Year","Lower working (£)","Higher working (£)","Intermediate (£)","Lower professional (£)","Higher professional (£)"
"2023 to 2025",14.731,16.384,17.557,18.229,20.36
"2022 to 2024",14.785,16.37,17.735,18.704,20.243
"2021 to 2023",14.858,15.932,17.553,19.152,20.524
"2020 to 2022",15.265,16.237,17.237,19.163,20.431
"2019 to 2021",15.044,16.062,17.243,18.786,20.917
"2018 to 2020",14.377,15.855,16.912,18.411,20.668
"2017 to 2019",13.675,15.378,16.538,18.057,20.225
"2016 to 2018",13.486,14.756,15.739,17.992,19.605
"2015 to 2017",13.331,14.919,15.477,17.833,18.963
"2014 to 2016",13.295,14.521,15.102,17.651,19.189
