"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"IN31","Economic activity of young people","ITL2","TLI3","Inner London - West","2018-2021",NA,"25-29","Total",NA,NA,-0.00151,72,-0.03138628,0.02836628,0.015243,"Random effect",NA
"IN31","Economic activity of young people","ITL2","TLI4","Inner London - East","2018-2021",NA,"25-29","Total",NA,NA,-0.00555,185,-0.03249804,0.02139804,0.013749,"Random effect",NA
"IN31","Economic activity of young people","ITL2","TLI6","Outer London - South","2018-2021",NA,"25-29","Total",NA,NA,0.000432,145,-0.02728828,0.02815228,0.014143,"Random effect",NA
"IN31","Economic activity of young people","ITL2","TLI5","Outer London - East and North East","2018-2021",NA,"25-29","Total",NA,NA,0.011189,236,-0.01439488,0.03677288,0.013053,"Random effect",NA
"IN31","Economic activity of young people","ITL2","TLI7","Outer London - West and North West","2018-2021",NA,"25-29","Total",NA,NA,0.00796,172,-0.01906252,0.03498252,0.013787,"Random effect",NA
"IN31","Economic activity of young people","ITL2","TLH2","Bedfordshire and Hertfordshire","2018-2021",NA,"25-29","Total",NA,NA,0.004166,295,-0.02044376,0.02877576,0.012556,"Random effect",NA
"IN31","Economic activity of young people","ITL2","TLJ1","Berkshire, Buckinghamshire and Oxfordshire","2018-2021",NA,"25-29","Total",NA,NA,0.002685,413,-0.0200314,0.0254014,0.01159,"Random effect",NA
"IN31","Economic activity of young people","ITL2","TLD6","Cheshire","2018-2021",NA,"25-29","Total",NA,NA,0.006204,148,-0.0214614,0.0338694,0.014115,"Random effect",NA
"IN31","Economic activity of young people","ITL2","TLK3","Cornwall and Isles of Scilly","2018-2021",NA,"25-29","Total",NA,NA,-0.00845,87,-0.037899,0.020999,0.015025,"Random effect",NA
"IN31","Economic activity of young people","ITL2","TLD1","Cumbria","2018-2021",NA,"25-29","Total",NA,NA,0.015462,112,-0.01312656,0.04405056,0.014586,"Random effect",NA
"IN31","Economic activity of young people","ITL2","TLF1","Derbyshire and Nottinghamshire","2018-2021",NA,"25-29","Total",NA,NA,0.007788,363,-0.0156536,0.0312296,0.01196,"Random effect",NA
"IN31","Economic activity of young people","ITL2","TLK4","Devon","2018-2021",NA,"25-29","Total",NA,NA,0.004129,217,-0.0219978,0.0302558,0.01333,"Random effect",NA
"IN31","Economic activity of young people","ITL2","TLK2","Dorset and Somerset","2018-2021",NA,"25-29","Total",NA,NA,0.00542,232,-0.02031284,0.03115284,0.013129,"Random effect",NA
