"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in31","Economic activity","geography_caterpillar",,"ITL2","Bedfordshire and Hertfordshire","economically_active_binary","1","itl2_adolescent_geo","Bedfordshire and Hertfordshire","quintile","5",,,"2018-2025",1.657,-0.736,4.049,,"Percent","Random effect from a linear mixed-effects model"
"in31","Economic activity","geography_caterpillar",,"ITL2","Berkshire, Buckinghamshire and Oxfordshire","economically_active_binary","1","itl2_adolescent_geo","Berkshire, Buckinghamshire and Oxfordshire","quintile","2",,,"2018-2025",-0.95,-3.031,1.132,,"Percent","Random effect from a linear mixed-effects model"
"in31","Economic activity","geography_caterpillar",,"ITL2","Cheshire","economically_active_binary","1","itl2_adolescent_geo","Cheshire","quintile","5",,,"2018-2025",2.74,-0.164,5.643,,"Percent","Random effect from a linear mixed-effects model"
"in31","Economic activity","geography_caterpillar",,"ITL2","Cornwall and Isles of Scilly","economically_active_binary","1","itl2_adolescent_geo","Cornwall and Isles of Scilly","quintile","2",,,"2018-2025",-0.394,-3.737,2.95,,"Percent","Random effect from a linear mixed-effects model"
"in31","Economic activity","geography_caterpillar",,"ITL2","Cumbria","economically_active_binary","1","itl2_adolescent_geo","Cumbria","quintile","4",,,"2018-2025",1.351,-1.943,4.644,,"Percent","Random effect from a linear mixed-effects model"
"in31","Economic activity","geography_caterpillar",,"ITL2","Derbyshire and Nottinghamshire","economically_active_binary","1","itl2_adolescent_geo","Derbyshire and Nottinghamshire","quintile","4",,,"2018-2025",1.146,-1.081,3.373,,"Percent","Random effect from a linear mixed-effects model"
"in31","Economic activity","geography_caterpillar",,"ITL2","Devon","economically_active_binary","1","itl2_adolescent_geo","Devon","quintile","3",,,"2018-2025",0.696,-2.018,3.409,,"Percent","Random effect from a linear mixed-effects model"
"in31","Economic activity","geography_caterpillar",,"ITL2","Dorset and Somerset","economically_active_binary","1","itl2_adolescent_geo","Dorset and Somerset","quintile","3",,,"2018-2025",0.325,-2.361,3.011,,"Percent","Random effect from a linear mixed-effects model"
"in31","Economic activity","geography_caterpillar",,"ITL2","East Anglia","economically_active_binary","1","itl2_adolescent_geo","East Anglia","quintile","4",,,"2018-2025",1.117,-1.007,3.241,,"Percent","Random effect from a linear mixed-effects model"
"in31","Economic activity","geography_caterpillar",,"ITL2","East Wales","economically_active_binary","1","itl2_adolescent_geo","East Wales","quintile","2",,,"2018-2025",-0.641,-3.351,2.069,,"Percent","Random effect from a linear mixed-effects model"
"in31","Economic activity","geography_caterpillar",,"ITL2","East Yorkshire and Northern Lincolnshire","economically_active_binary","1","itl2_adolescent_geo","East Yorkshire and Northern Lincolnshire","quintile","5",,,"2018-2025",1.675,-1.212,4.563,,"Percent","Random effect from a linear mixed-effects model"
"in31","Economic activity","geography_caterpillar",,"ITL2","Eastern Scotland","economically_active_binary","1","itl2_adolescent_geo","Eastern Scotland","quintile","2",,,"2018-2025",-0.857,-3.148,1.433,,"Percent","Random effect from a linear mixed-effects model"
"in31","Economic activity","geography_caterpillar",,"ITL2","Essex","economically_active_binary","1","itl2_adolescent_geo","Essex","quintile","5",,,"2018-2025",1.841,-0.489,4.171,,"Percent","Random effect from a linear mixed-effects model"
"in31","Economic activity","geography_caterpillar",,"ITL2","Gloucestershire, Wiltshire and Bath/Bristol area","economically_active_binary","1","itl2_adolescent_geo","Gloucestershire, Wiltshire and Bath/Bristol area","quintile","5",,,"2018-2025",2.345,0.264,4.426,,"Percent","Random effect from a linear mixed-effects model"
"in31","Economic activity","geography_caterpillar",,"ITL2","Greater Manchester","economically_active_binary","1","itl2_adolescent_geo","Greater Manchester","quintile","1",,,"2018-2025",-2.688,-4.794,-0.582,,"Percent","Random effect from a linear mixed-effects model"
