"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in31","Economic activity","disability_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Higher professional","disability","Disabled",,,"2014-2019",80.977,76.432,84.936,348,"Percent",
"in31","Economic activity","disability_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Higher professional","disability","Not disabled",,,"2014-2019",92.003,90.98,92.941,3043,"Percent",
"in31","Economic activity","disability_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Lower professional","disability","Disabled",,,"2014-2019",70.459,66.125,74.409,487,"Percent",
"in31","Economic activity","disability_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Lower professional","disability","Not disabled",,,"2014-2019",92.504,91.583,93.327,3627,"Percent",
"in31","Economic activity","disability_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Intermediate","disability","Disabled",,,"2014-2019",67.295,63.277,70.947,598,"Percent",
"in31","Economic activity","disability_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Intermediate","disability","Not disabled",,,"2014-2019",90.896,90.002,91.734,4354,"Percent",
"in31","Economic activity","disability_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Higher working","disability","Disabled",,,"2014-2019",65.438,61.262,69.332,555,"Percent",
"in31","Economic activity","disability_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Higher working","disability","Not disabled",,,"2014-2019",89.259,88.2,90.254,3588,"Percent",
"in31","Economic activity","disability_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Lower working","disability","Disabled",,,"2014-2019",51.541,48.111,54.948,846,"Percent",
"in31","Economic activity","disability_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Lower working","disability","Not disabled",,,"2014-2019",84.154,82.891,85.342,3490,"Percent",
