"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Higher professional","ethnicity","Bangladeshi",,,"2014-2025",87.099,82.457,90.652,,"Percent",
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Lower working","ethnicity","Bangladeshi",,,"2014-2025",71.457,63.853,78.011,,"Percent",
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Higher professional","ethnicity","Black African",,,"2014-2025",93.459,91.459,95.016,,"Percent",
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Lower working","ethnicity","Black African",,,"2014-2025",84.122,80.042,87.498,,"Percent",
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Higher professional","ethnicity","Black Caribbean",,,"2014-2025",96.184,94.15,97.53,,"Percent",
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Lower working","ethnicity","Black Caribbean",,,"2014-2025",90.335,85.74,93.56,,"Percent",
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Higher professional","ethnicity","Chinese",,,"2014-2025",83.262,77.281,87.914,,"Percent",
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Lower working","ethnicity","Chinese",,,"2014-2025",64.844,55.854,72.892,,"Percent",
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Higher professional","ethnicity","Indian",,,"2014-2025",93.239,91.573,94.594,,"Percent",
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Lower working","ethnicity","Indian",,,"2014-2025",83.642,80.273,86.533,,"Percent",
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Higher professional","ethnicity","Mixed",,,"2014-2025",91.77,89.419,93.636,,"Percent",
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Lower working","ethnicity","Mixed",,,"2014-2025",80.525,76.1,84.299,,"Percent",
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Higher professional","ethnicity","Other",,,"2014-2025",87.677,85.263,89.742,,"Percent",
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Lower working","ethnicity","Other",,,"2014-2025",72.513,68.538,76.161,,"Percent",
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Higher professional","ethnicity","Pakistani",,,"2014-2025",84.822,81.528,87.618,,"Percent",
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Lower working","ethnicity","Pakistani",,,"2014-2025",67.451,62.546,72,,"Percent",
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Higher professional","ethnicity","White British",,,"2014-2025",94.376,93.705,94.979,,"Percent",
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Lower working","ethnicity","White British",,,"2014-2025",86.154,85.041,87.197,,"Percent",
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Higher professional","ethnicity","White other",,,"2014-2025",95.016,94.074,95.815,,"Percent",
"in31","Economic activity","ethnicity","K02000001","country","United Kingdom","economically_active_binary",,"seb","Lower working","ethnicity","White other",,,"2014-2025",87.607,85.795,89.217,,"Percent",
