"Ethnicity","Lower working","","","Higher professional","",""
"","2014-2019 (%)","2020-2025 (%)","2014-2025 (combined) (%)","2014-2019 (%)","2020-2025 (%)","2014-2025 (combined) (%)"
"Bangladeshi","74.834","67.084","71.457","89.916","83.324","87.099"
"Chinese","61.882","69.215","64.844","82.958","84.645","83.262"
"Indian","83.977","83.18","83.642","94.017","92.381","93.239"
"Pakistani","71.317","63.447","67.451","88.173","80.973","84.822"
"Black African","82.08","85.357","84.122","93.213","93.461","93.459"
"Black Caribbean","91.047","89.607","90.335","96.825","95.483","96.184"
"Mixed","82.868","78.093","80.525","93.55","89.733","91.77"
"White British","87.835","84.439","86.154","95.585","93.009","94.376"
"White other","88.233","87.713","87.607","95.742","94.596","95.016"
"Other","70.397","74.623","72.513","87.701","87.819","87.677"
