"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in31","Economic activity","sex_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Higher professional","sex","Men",,,"2020-2025",90.91,89.197,92.402,1300,"Percent",
"in31","Economic activity","sex_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Higher professional","sex","Women",,,"2020-2025",90.284,88.58,91.769,1390,"Percent",
"in31","Economic activity","sex_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Lower professional","sex","Men",,,"2020-2025",92.131,90.544,93.472,1372,"Percent",
"in31","Economic activity","sex_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Lower professional","sex","Women",,,"2020-2025",89.114,87.421,90.556,1585,"Percent",
"in31","Economic activity","sex_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Intermediate","sex","Men",,,"2020-2025",91.539,89.929,92.904,1417,"Percent",
"in31","Economic activity","sex_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Intermediate","sex","Women",,,"2020-2025",85.887,84.073,87.517,1629,"Percent",
"in31","Economic activity","sex_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Higher working","sex","Men",,,"2020-2025",91.587,89.62,93.235,964,"Percent",
"in31","Economic activity","sex_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Higher working","sex","Women",,,"2020-2025",82.339,79.917,84.594,1061,"Percent",
"in31","Economic activity","sex_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Lower working","sex","Men",,,"2020-2025",84.002,81.582,86.092,1060,"Percent",
"in31","Economic activity","sex_time_comparison","K02000001","country","United Kingdom","economically_active_binary","Active","seb","Lower working","sex","Women",,,"2020-2025",75.419,72.84,77.785,1203,"Percent",
