"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher professional","sex","Men",,,"2014-2025",92.337,88.657,95.11,257,"Average","3-year moving average","2014 to 2016"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher professional","sex","Men",,,"2014-2025",92.838,89.489,95.392,277,"Average","3-year moving average","2015 to 2017"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher professional","sex","Men",,,"2014-2025",92.964,89.614,95.448,264,"Average","3-year moving average","2016 to 2018"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher professional","sex","Men",,,"2014-2025",94.123,91.22,96.405,273,"Average","3-year moving average","2017 to 2019"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher professional","sex","Men",,,"2014-2025",93.556,90.296,95.677,248,"Average","3-year moving average","2018 to 2020"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher professional","sex","Men",,,"2014-2025",93.386,90.139,95.457,262,"Average","3-year moving average","2019 to 2021"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher professional","sex","Men",,,"2014-2025",92.197,88.889,94.568,237,"Average","3-year moving average","2020 to 2022"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher professional","sex","Men",,,"2014-2025",91.081,87.684,93.744,208,"Average","3-year moving average","2021 to 2023"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher professional","sex","Men",,,"2014-2025",89.165,85.411,92.178,173,"Average","3-year moving average","2022 to 2024"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Higher professional","sex","Men",,,"2014-2025",89.555,85.842,92.417,196,"Average","3-year moving average","2023 to 2025"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower professional","sex","Men",,,"2014-2025",93.881,90.562,95.876,325,"Average","3-year moving average","2014 to 2016"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower professional","sex","Men",,,"2014-2025",94.098,91.227,96.326,316,"Average","3-year moving average","2015 to 2017"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower professional","sex","Men",,,"2014-2025",94.555,91.631,96.5,318,"Average","3-year moving average","2016 to 2018"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower professional","sex","Men",,,"2014-2025",94.224,91.156,96.142,313,"Average","3-year moving average","2017 to 2019"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower professional","sex","Men",,,"2014-2025",92.851,89.754,95.003,288,"Average","3-year moving average","2018 to 2020"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower professional","sex","Men",,,"2014-2025",92.323,89.077,94.533,279,"Average","3-year moving average","2019 to 2021"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower professional","sex","Men",,,"2014-2025",91.759,88.523,94.063,256,"Average","3-year moving average","2020 to 2022"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower professional","sex","Men",,,"2014-2025",93.08,89.774,95.284,212,"Average","3-year moving average","2021 to 2023"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower professional","sex","Men",,,"2014-2025",92.4,88.99,94.687,186,"Average","3-year moving average","2022 to 2024"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower professional","sex","Men",,,"2014-2025",92.544,89.378,94.949,201,"Average","3-year moving average","2023 to 2025"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","sex","Men",,,"2014-2025",93.388,90.689,95.528,415,"Average","3-year moving average","2014 to 2016"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","sex","Men",,,"2014-2025",93.763,90.947,95.714,400,"Average","3-year moving average","2015 to 2017"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","sex","Men",,,"2014-2025",92.942,89.885,95.007,371,"Average","3-year moving average","2016 to 2018"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","sex","Men",,,"2014-2025",93.175,90.345,95.24,373,"Average","3-year moving average","2017 to 2019"
