"Year","Men","","","","","Women","","","","","Total","","","",""
"","Lower working (%)","Higher working (%)","Intermediate (%)","Lower professional (%)","Higher professional (%)","Lower working (%)","Higher working (%)","Intermediate (%)","Lower professional (%)","Higher professional (%)","Lower working (%)","Higher working (%)","Intermediate (%)","Lower professional (%)","Higher professional (%)"
"2023 to 2025","84.939","91.647","90.834","92.544","89.555","74.559","82.371","85.404","89.181","91.808","79.859","87.14","88.078","90.816","90.652"
"2022 to 2024","84.345","94.408","90.612","92.4","89.165","74.281","82.41","86.62","89.138","89.695","79.156","88.724","88.64","90.755","89.423"
"2021 to 2023","83.029","92.962","91.337","93.08","91.081","73.403","82.575","87.059","89.944","88.832","78.155","88.171","89.275","91.492","90.01"
"2020 to 2022","82.98","91.531","92.224","91.759","92.197","76.285","82.31","86.401","89.048","88.833","79.569","87.105","89.404","90.426","90.56"
"2019 to 2021","83.081","91.558","93.538","92.323","93.386","75.202","82.091","86.689","89.114","89.704","79.075","86.93","90.296","90.728","91.629"
"2018 to 2020","84.864","91.876","92.226","92.851","93.556","73.97","80.344","85.529","87.572","89.82","79.3","86.256","89.018","90.222","91.761"
"2017 to 2019","86.263","92.74","93.175","94.224","94.123","71.308","80.253","84.197","87.123","89.418","78.687","86.586","88.983","90.648","91.858"
"2016 to 2018","86.874","92.381","92.942","94.555","92.964","69.534","80.565","82.671","86.143","88.323","78.21","86.579","87.965","90.421","90.684"
"2015 to 2017","87.664","92.457","93.763","94.098","92.838","68.781","81.053","81.454","85.962","88.223","78.143","86.826","87.736","90.037","90.583"
"2014 to 2016","87.669","93.129","93.388","93.881","92.337","66.703","78.468","80.456","84.452","86.989","77.022","85.829","86.967","89.267","89.653"
