"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher professional","sex","Women",,,"2014-2025",86.989,82.568,90.583,305,"Average","3-year moving average","2014 to 2016"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher professional","sex","Women",,,"2014-2025",88.223,83.953,91.438,302,"Average","3-year moving average","2015 to 2017"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher professional","sex","Women",,,"2014-2025",88.323,84.295,91.628,297,"Average","3-year moving average","2016 to 2018"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher professional","sex","Women",,,"2014-2025",89.418,85.65,92.594,301,"Average","3-year moving average","2017 to 2019"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher professional","sex","Women",,,"2014-2025",89.82,86.145,92.859,280,"Average","3-year moving average","2018 to 2020"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher professional","sex","Women",,,"2014-2025",89.704,85.968,92.621,283,"Average","3-year moving average","2019 to 2021"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher professional","sex","Women",,,"2014-2025",88.833,84.882,91.684,261,"Average","3-year moving average","2020 to 2022"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher professional","sex","Women",,,"2014-2025",88.832,84.867,91.875,218,"Average","3-year moving average","2021 to 2023"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher professional","sex","Women",,,"2014-2025",89.695,85.902,92.729,184,"Average","3-year moving average","2022 to 2024"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Higher professional","sex","Women",,,"2014-2025",91.808,88.354,94.446,203,"Average","3-year moving average","2023 to 2025"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower professional","sex","Women",,,"2014-2025",84.452,80.203,88.071,366,"Average","3-year moving average","2014 to 2016"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower professional","sex","Women",,,"2014-2025",85.962,81.944,89.331,368,"Average","3-year moving average","2015 to 2017"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower professional","sex","Women",,,"2014-2025",86.143,82.229,89.507,359,"Average","3-year moving average","2016 to 2018"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower professional","sex","Women",,,"2014-2025",87.123,83.56,90.377,371,"Average","3-year moving average","2017 to 2019"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower professional","sex","Women",,,"2014-2025",87.572,83.994,90.588,343,"Average","3-year moving average","2018 to 2020"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower professional","sex","Women",,,"2014-2025",89.114,85.627,91.934,334,"Average","3-year moving average","2019 to 2021"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower professional","sex","Women",,,"2014-2025",89.048,85.662,91.955,295,"Average","3-year moving average","2020 to 2022"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower professional","sex","Women",,,"2014-2025",89.944,86.425,92.74,240,"Average","3-year moving average","2021 to 2023"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower professional","sex","Women",,,"2014-2025",89.138,85.326,91.876,208,"Average","3-year moving average","2022 to 2024"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower professional","sex","Women",,,"2014-2025",89.181,85.452,91.833,234,"Average","3-year moving average","2023 to 2025"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","sex","Women",,,"2014-2025",80.456,76.372,83.994,480,"Average","3-year moving average","2014 to 2016"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","sex","Women",,,"2014-2025",81.454,77.218,84.824,443,"Average","3-year moving average","2015 to 2017"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","sex","Women",,,"2014-2025",82.671,78.437,86.045,404,"Average","3-year moving average","2016 to 2018"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","sex","Women",,,"2014-2025",84.197,80.125,87.541,389,"Average","3-year moving average","2017 to 2019"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Intermediate","sex","Women",,,"2014-2025",85.529,81.394,88.66,342,"Average","3-year moving average","2018 to 2020"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Intermediate","sex","Women",,,"2014-2025",86.689,83.031,89.999,335,"Average","3-year moving average","2019 to 2021"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Intermediate","sex","Women",,,"2014-2025",86.401,82.706,89.745,291,"Average","3-year moving average","2020 to 2022"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","sex","Women",,,"2014-2025",87.059,83.173,90.197,253,"Average","3-year moving average","2021 to 2023"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","sex","Women",,,"2014-2025",86.62,82.706,89.745,223,"Average","3-year moving average","2022 to 2024"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Intermediate","sex","Women",,,"2014-2025",85.404,81.659,88.68,252,"Average","3-year moving average","2023 to 2025"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher working","sex","Women",,,"2014-2025",78.468,74.062,82.7,406,"Average","3-year moving average","2014 to 2016"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher working","sex","Women",,,"2014-2025",81.053,76.591,84.789,392,"Average","3-year moving average","2015 to 2017"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher working","sex","Women",,,"2014-2025",80.565,76.158,84.493,374,"Average","3-year moving average","2016 to 2018"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher working","sex","Women",,,"2014-2025",80.253,75.476,84.182,341,"Average","3-year moving average","2017 to 2019"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher working","sex","Women",,,"2014-2025",80.344,75.622,84.503,291,"Average","3-year moving average","2018 to 2020"
