"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in35","Income returns to education","sex","K02000001","country","United Kingdom","Degree","Lower level (below CSE grade 1)","sex","Women","seb","Lower working",,,"2014-2025",10.436,9.888,11.015,,"Pound","Mean hourly earnings"
"in35","Income returns to education","sex","K02000001","country","United Kingdom","Degree","O level, GCSE and equivalent","sex","Women","seb","Lower working",,,"2014-2025",11.229,10.753,11.726,,"Pound","Mean hourly earnings"
"in35","Income returns to education","sex","K02000001","country","United Kingdom","Degree","A level and equivalent","sex","Women","seb","Lower working",,,"2014-2025",11.208,10.837,11.592,,"Pound","Mean hourly earnings"
"in35","Income returns to education","sex","K02000001","country","United Kingdom","Degree","Further education below degree","sex","Women","seb","Lower working",,,"2014-2025",12.223,11.622,12.855,,"Pound","Mean hourly earnings"
"in35","Income returns to education","sex","K02000001","country","United Kingdom","Degree","First degree","sex","Women","seb","Lower working",,,"2014-2025",14.658,14.185,15.147,,"Pound","Mean hourly earnings"
"in35","Income returns to education","sex","K02000001","country","United Kingdom","Degree","Higher degree","sex","Women","seb","Lower working",,,"2014-2025",16.354,15.728,17.005,,"Pound","Mean hourly earnings"
"in35","Income returns to education","sex","K02000001","country","United Kingdom","Degree","Lower level (below CSE grade 1)","sex","Men","seb","Lower working",,,"2014-2025",11.024,10.467,11.611,,"Pound","Mean hourly earnings"
"in35","Income returns to education","sex","K02000001","country","United Kingdom","Degree","O level, GCSE and equivalent","sex","Men","seb","Lower working",,,"2014-2025",12.707,12.136,13.304,,"Pound","Mean hourly earnings"
"in35","Income returns to education","sex","K02000001","country","United Kingdom","Degree","A level and equivalent","sex","Men","seb","Lower working",,,"2014-2025",13.939,13.427,14.471,,"Pound","Mean hourly earnings"
"in35","Income returns to education","sex","K02000001","country","United Kingdom","Degree","Further education below degree","sex","Men","seb","Lower working",,,"2014-2025",14.732,13.944,15.564,,"Pound","Mean hourly earnings"
"in35","Income returns to education","sex","K02000001","country","United Kingdom","Degree","First degree","sex","Men","seb","Lower working",,,"2014-2025",16.68,16.036,17.349,,"Pound","Mean hourly earnings"
"in35","Income returns to education","sex","K02000001","country","United Kingdom","Degree","Higher degree","sex","Men","seb","Lower working",,,"2014-2025",18.115,17.301,18.968,,"Pound","Mean hourly earnings"
