"Region","Difference compared to average"
"Bedfordshire and Hertfordshire",4.645
"Berkshire, Buckinghamshire and Oxfordshire",2.598
"Cheshire",0.713
"Cornwall and Isles of Scilly",2.48
"Cumbria",-2.82
"Derbyshire and Nottinghamshire",-0.402
"Devon",0.077
"Dorset and Somerset",0.244
"East Anglia",0.723
"East Wales",-1.958
"East Yorkshire and Northern Lincolnshire",-0.969
"Eastern Scotland",-2.092
"Essex",2.271
"Gloucestershire, Wiltshire and Bath/Bristol area",-0.723
"Greater Manchester",-1.527
"Hampshire and Isle of Wight",4.024
"Herefordshire, Worcestershire and Warwickshire",3.087
"Highlands and Islands",-4.681
"Inner London - East",3.434
"Inner London - West",2.733
"Kent",2.157
"Lancashire",1.012
"Leicestershire, Rutland and Northamptonshire",2.3
"Lincolnshire",-2.888
"Merseyside",-4.746
"North Eastern Scotland",0.55
"North Yorkshire",3.966
"Northern Ireland",-4.882
"Northumberland, and Tyne and Wear",-2.416
"Outer London - East and North East",4.151
"Outer London - South",-0.89
"Outer London - West and North West",5.843
"Shropshire and Staffordshire",2.446
"South Yorkshire",-2.001
"Southern Scotland",-6.242
"Surrey, East and West Sussex",1.653
"Tees Valley and Durham",-1.631
"West Central Scotland",-2.824
"West Midlands",-2.53
"West Wales and The Valleys",-2.145
"West Yorkshire",-2.742
