"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Lower working","seb","Higher professional",,,,,"2025",11.043,8.58,13.868,575,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Lower working","seb","Lower professional",,,,,"2025",13.182,10.626,16.166,608,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Lower working","seb","Intermediate",,,,,"2025",19.951,16.977,23.399,625,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Lower working","seb","Higher working",,,,,"2025",25.853,21.667,30.635,386,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Lower working","seb","Lower working",,,,,"2025",31.997,27.711,36.476,454,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Higher working","seb","Higher professional",,,,,"2025",11.494,9.047,14.438,575,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Higher working","seb","Lower professional",,,,,"2025",12.199,9.733,15.099,608,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Higher working","seb","Intermediate",,,,,"2025",13.549,11.061,16.597,625,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Higher working","seb","Higher working",,,,,"2025",18.755,14.965,22.979,386,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Higher working","seb","Lower working",,,,,"2025",18.198,14.897,22.216,454,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Intermediate","seb","Higher professional",,,,,"2025",12.986,10.456,16.137,575,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Intermediate","seb","Lower professional",,,,,"2025",20.505,17.459,24.038,608,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Intermediate","seb","Intermediate",,,,,"2025",23.211,19.985,26.75,625,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Intermediate","seb","Higher working",,,,,"2025",18.834,15.201,23.256,386,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Intermediate","seb","Lower working",,,,,"2025",15.198,12.089,18.91,454,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Lower professional","seb","Higher professional",,,,,"2025",32.209,28.401,36.189,575,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Lower professional","seb","Lower professional",,,,,"2025",30.148,26.508,33.945,608,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Lower professional","seb","Intermediate",,,,,"2025",27.053,23.63,30.737,625,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Lower professional","seb","Higher working",,,,,"2025",23.386,19.253,27.921,386,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Lower professional","seb","Lower working",,,,,"2025",23.533,19.793,27.799,454,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Higher professional","seb","Higher professional",,,,,"2025",32.269,28.569,36.367,575,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Higher professional","seb","Lower professional",,,,,"2025",23.966,20.71,27.651,608,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Higher professional","seb","Intermediate",,,,,"2025",16.236,13.409,19.336,625,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Higher professional","seb","Higher working",,,,,"2025",13.172,10.08,17.098,386,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","Occupation","Higher professional","seb","Lower working",,,,,"2025",11.074,8.357,14.348,454,"Percent",
