"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher professional","seb","Lower working","disability","Disabled",,,"2014 to 2025 (combined)",3.215,2.395,4.284,1463,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher professional","seb","Lower working","disability","Not disabled",,,"2014 to 2025 (combined)",7.875,7.164,8.659,5127,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher professional","seb","Higher working","disability","Disabled",,,"2014 to 2025 (combined)",7.747,6.144,9.636,959,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher professional","seb","Higher working","disability","Not disabled",,,"2014 to 2025 (combined)",11.52,10.67,12.425,5200,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher professional","seb","Intermediate","disability","Disabled",,,"2014 to 2025 (combined)",7.237,5.856,8.893,1189,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher professional","seb","Intermediate","disability","Not disabled",,,"2014 to 2025 (combined)",15.526,14.673,16.409,6797,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher professional","seb","Lower professional","disability","Disabled",,,"2014 to 2025 (combined)",11.947,10.036,14.108,1023,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher professional","seb","Lower professional","disability","Not disabled",,,"2014 to 2025 (combined)",20.951,19.929,21.999,6030,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher professional","seb","Higher professional","disability","Disabled",,,"2014 to 2025 (combined)",18.612,15.952,21.511,786,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher professional","seb","Higher professional","disability","Not disabled",,,"2014 to 2025 (combined)",27.746,26.553,28.985,5286,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower professional","seb","Lower working","disability","Disabled",,,"2014 to 2025 (combined)",12.261,10.622,14.05,1463,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower professional","seb","Lower working","disability","Not disabled",,,"2014 to 2025 (combined)",20.418,19.331,21.557,5127,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower professional","seb","Higher working","disability","Disabled",,,"2014 to 2025 (combined)",16.832,14.507,19.34,959,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower professional","seb","Higher working","disability","Not disabled",,,"2014 to 2025 (combined)",25.72,24.532,26.927,5200,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower professional","seb","Intermediate","disability","Disabled",,,"2014 to 2025 (combined)",21.106,18.845,23.565,1189,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower professional","seb","Intermediate","disability","Not disabled",,,"2014 to 2025 (combined)",27.147,26.093,28.222,6797,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower professional","seb","Lower professional","disability","Disabled",,,"2014 to 2025 (combined)",27.092,24.397,29.932,1023,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower professional","seb","Lower professional","disability","Not disabled",,,"2014 to 2025 (combined)",32.72,31.539,33.923,6030,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower professional","seb","Higher professional","disability","Disabled",,,"2014 to 2025 (combined)",27.017,23.926,30.247,786,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower professional","seb","Higher professional","disability","Not disabled",,,"2014 to 2025 (combined)",34.514,33.227,35.808,5286,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Lower working","disability","Disabled",,,"2014 to 2025 (combined)",15.051,13.265,16.996,1463,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Lower working","disability","Not disabled",,,"2014 to 2025 (combined)",19.863,18.777,20.98,5127,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Higher working","disability","Disabled",,,"2014 to 2025 (combined)",15.307,13.138,17.802,959,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Higher working","disability","Not disabled",,,"2014 to 2025 (combined)",19.93,18.85,21.041,5200,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Intermediate","disability","Disabled",,,"2014 to 2025 (combined)",22.746,20.377,25.219,1189,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Intermediate","disability","Not disabled",,,"2014 to 2025 (combined)",22.162,21.178,23.167,6797,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Lower professional","disability","Disabled",,,"2014 to 2025 (combined)",18.717,16.355,21.225,1023,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Lower professional","disability","Not disabled",,,"2014 to 2025 (combined)",19.434,18.449,20.463,6030,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Higher professional","disability","Disabled",,,"2014 to 2025 (combined)",17.309,14.76,20.172,786,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Higher professional","disability","Not disabled",,,"2014 to 2025 (combined)",16.586,15.603,17.628,5286,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Lower working","disability","Disabled",,,"2014 to 2025 (combined)",21.763,19.665,23.957,1463,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Lower working","disability","Not disabled",,,"2014 to 2025 (combined)",25.783,24.596,27.01,5127,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Higher working","disability","Disabled",,,"2014 to 2025 (combined)",24.112,21.438,26.948,959,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Higher working","disability","Not disabled",,,"2014 to 2025 (combined)",25.092,23.927,26.302,5200,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Intermediate","disability","Disabled",,,"2014 to 2025 (combined)",19.11,16.919,21.468,1189,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Intermediate","disability","Not disabled",,,"2014 to 2025 (combined)",18.68,17.769,19.636,6797,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Lower professional","disability","Disabled",,,"2014 to 2025 (combined)",17.601,15.338,20.1,1023,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Lower professional","disability","Not disabled",,,"2014 to 2025 (combined)",14.182,13.313,15.091,6030,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Higher professional","disability","Disabled",,,"2014 to 2025 (combined)",11.436,9.351,13.935,786,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Higher professional","disability","Not disabled",,,"2014 to 2025 (combined)",10.676,9.857,11.54,5286,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Lower working","disability","Disabled",,,"2014 to 2025 (combined)",47.71,45.126,50.306,1463,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Lower working","disability","Not disabled",,,"2014 to 2025 (combined)",26.061,24.865,27.287,5127,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Higher working","disability","Disabled",,,"2014 to 2025 (combined)",36.002,32.948,39.116,959,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Higher working","disability","Not disabled",,,"2014 to 2025 (combined)",17.738,16.707,18.802,5200,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Intermediate","disability","Disabled",,,"2014 to 2025 (combined)",29.801,27.201,32.477,1189,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Intermediate","disability","Not disabled",,,"2014 to 2025 (combined)",16.486,15.622,17.401,6797,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Lower professional","disability","Disabled",,,"2014 to 2025 (combined)",24.643,22.044,27.416,1023,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Lower professional","disability","Not disabled",,,"2014 to 2025 (combined)",12.713,11.894,13.593,6030,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Higher professional","disability","Disabled",,,"2014 to 2025 (combined)",25.627,22.586,28.802,786,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Higher professional","disability","Not disabled",,,"2014 to 2025 (combined)",10.478,9.674,11.345,5286,"Percent",
