"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Higher professional","ethnicity","White British",,,"2014-2025",60.367,58.782,61.93,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Higher professional","ethnicity","Bangladeshi",,,"2014-2025",50.401,42.107,58.673,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Higher professional","ethnicity","Black African",,,"2014-2025",56.589,50.882,62.127,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Higher professional","ethnicity","Black Caribbean",,,"2014-2025",56.534,48.924,63.848,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Higher professional","ethnicity","Chinese",,,"2014-2025",61.621,53.067,69.511,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Higher professional","ethnicity","Indian",,,"2014-2025",67.379,63.693,70.862,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Higher professional","ethnicity","Mixed",,,"2014-2025",61.659,56.967,66.144,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Higher professional","ethnicity","Other",,,"2014-2025",55.679,51.28,59.99,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Higher professional","ethnicity","Pakistani",,,"2014-2025",50.669,45.479,55.843,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Higher professional","ethnicity","White other",,,"2014-2025",56.51,53.613,59.363,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Lower working","ethnicity","White British",,,"2014-2025",25.71,24.365,27.102,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Lower working","ethnicity","Bangladeshi",,,"2014-2025",18.757,14.18,24.393,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Lower working","ethnicity","Black African",,,"2014-2025",22.851,19.019,27.194,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Lower working","ethnicity","Black Caribbean",,,"2014-2025",22.811,17.863,28.652,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Lower working","ethnicity","Chinese",,,"2014-2025",26.729,20.393,34.188,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Lower working","ethnicity","Indian",,,"2014-2025",31.941,28.396,35.708,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Lower working","ethnicity","Mixed",,,"2014-2025",26.761,23.079,30.796,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Lower working","ethnicity","Other",,,"2014-2025",22.205,19.202,25.53,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Lower working","ethnicity","Pakistani",,,"2014-2025",18.921,15.91,22.351,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","sec",,"seb","Lower working","ethnicity","White other",,,"2014-2025",22.794,20.749,24.976,,"Percent",
