"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in33","Occupational level of young people","sex_time_comparison","K02000001","country","United Kingdom","sec","Lower working","seb","Higher professional","sex","Men",,,"2014 to 2019",13.478,11.855,15.277,1588,"Percent",
"in33","Occupational level of young people","sex_time_comparison","K02000001","country","United Kingdom","sec","Lower working","seb","Higher professional","sex","Women",,,"2014 to 2019",11.505,10.09,13.08,1817,"Percent",
"in33","Occupational level of young people","sex_time_comparison","K02000001","country","United Kingdom","sec","Lower working","seb","Lower professional","sex","Men",,,"2014 to 2019",14.946,13.377,16.62,1916,"Percent",
"in33","Occupational level of young people","sex_time_comparison","K02000001","country","United Kingdom","sec","Lower working","seb","Lower professional","sex","Women",,,"2014 to 2019",13.867,12.479,15.406,2212,"Percent",
"in33","Occupational level of young people","sex_time_comparison","K02000001","country","United Kingdom","sec","Lower working","seb","Intermediate","sex","Men",,,"2014 to 2019",18.688,17.156,20.341,2364,"Percent",
"in33","Occupational level of young people","sex_time_comparison","K02000001","country","United Kingdom","sec","Lower working","seb","Intermediate","sex","Women",,,"2014 to 2019",19.329,17.83,20.897,2609,"Percent",
"in33","Occupational level of young people","sex_time_comparison","K02000001","country","United Kingdom","sec","Lower working","seb","Higher working","sex","Men",,,"2014 to 2019",21.299,19.484,23.199,1917,"Percent",
"in33","Occupational level of young people","sex_time_comparison","K02000001","country","United Kingdom","sec","Lower working","seb","Higher working","sex","Women",,,"2014 to 2019",19.55,17.934,21.261,2241,"Percent",
"in33","Occupational level of young people","sex_time_comparison","K02000001","country","United Kingdom","sec","Lower working","seb","Lower working","sex","Men",,,"2014 to 2019",32.461,30.393,34.58,1966,"Percent",
"in33","Occupational level of young people","sex_time_comparison","K02000001","country","United Kingdom","sec","Lower working","seb","Lower working","sex","Women",,,"2014 to 2019",29.948,28.123,31.834,2391,"Percent",
