"Socio-economic background","Sex","Lower working","","","Higher working","","","Intermediate","","","Lower professional","","","Higher professional","",""
"","","2014 to 2019 (%)","2020 to 2025 (%)","2014 to 2025 (combined) (%)","2014 to 2019 (%)","2020 to 2025 (%)","2014 to 2025 (combined) (%)","2014 to 2019 (%)","2020 to 2025 (%)","2014 to 2025 (combined) (%)","2014 to 2019 (%)","2020 to 2025 (%)","2014 to 2025 (combined) (%)","2014 to 2019 (%)","2020 to 2025 (%)","2014 to 2025 (combined) (%)"
"Higher professional","Men","13.478","13.949","13.731","14.03","8.86","11.255","15.882","13.962","14.851","30.784","29.209","29.938","25.827","34.02","30.225"
"","Women","11.505","11.122","11.301","11.31","9.323","10.252","19.907","17.632","18.696","37.803","36.679","37.205","19.475","25.244","22.547"
"Lower professional","Men","14.946","14.797","14.869","18.628","13.429","15.953","18.044","18.463","18.259","28.701","27.339","28","19.681","25.973","22.919"
"","Women","13.867","14.46","14.176","15.594","11.436","13.431","21.804","18.944","20.316","35.022","36.622","35.855","13.713","18.537","16.223"
"Intermediate","Men","18.688","18.554","18.624","23.496","15.808","19.842","21.919","18.615","20.349","22.773","25.212","23.932","13.124","21.811","17.253"
"","Women","19.329","17.937","18.648","20.946","14.225","17.658","24.232","24.147","24.19","27.491","29.667","28.556","8.003","14.023","10.948"
"Higher working","Men","21.299","22.756","21.951","30.58","20.422","26.035","17.45","17.051","17.271","19.487","24.828","21.877","11.184","14.944","12.867"
"","Women","19.55","19.214","19.404","26.604","20.345","23.881","21.94","20.233","21.198","25.237","28.548","26.677","6.669","11.66","8.84"
"Lower working","Men","32.461","34.603","33.46","29.205","20.724","25.25","17.162","15.303","16.295","14.611","18.542","16.444","6.562","10.828","8.551"
"","Women","29.948","28.017","29.063","27.489","20.702","24.379","20.109","22.214","21.074","18.216","23.271","20.532","4.237","5.796","4.952"
