"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window","background_label"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher working","profession","Higher professional",,,"2014-2025",8.403,6.566,10.728,750,"Average","3-year moving average","2014 to 2016","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher working","profession","Higher professional",,,"2014-2025",9.14,7.197,11.434,732,"Average","3-year moving average","2015 to 2017","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher working","profession","Higher professional",,,"2014-2025",9.254,7.304,11.6,697,"Average","3-year moving average","2016 to 2018","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher working","profession","Higher professional",,,"2014-2025",9.523,7.47,11.983,636,"Average","3-year moving average","2017 to 2019","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher working","profession","Higher professional",,,"2014-2025",9.867,7.74,12.405,542,"Average","3-year moving average","2018 to 2020","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher working","profession","Higher professional",,,"2014-2025",10.971,8.672,13.76,469,"Average","3-year moving average","2019 to 2021","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher working","profession","Higher professional",,,"2014-2025",11.828,9.366,14.779,382,"Average","3-year moving average","2020 to 2022","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher working","profession","Higher professional",,,"2014-2025",14.971,12.152,18.358,311,"Average","3-year moving average","2021 to 2023","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher working","profession","Higher professional",,,"2014-2025",14.902,12.018,18.258,267,"Average","3-year moving average","2022 to 2024","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Higher working","profession","Higher professional",,,"2014-2025",14.994,12.183,18.357,293,"Average","3-year moving average","2023 to 2025","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher working","profession","Lower professional",,,"2014-2025",21.808,18.846,24.933,750,"Average","3-year moving average","2014 to 2016","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher working","profession","Lower professional",,,"2014-2025",22.553,19.664,25.738,732,"Average","3-year moving average","2015 to 2017","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher working","profession","Lower professional",,,"2014-2025",21.936,19.07,25.132,697,"Average","3-year moving average","2016 to 2018","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher working","profession","Lower professional",,,"2014-2025",22.894,19.841,26.22,636,"Average","3-year moving average","2017 to 2019","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher working","profession","Lower professional",,,"2014-2025",24.888,21.695,28.374,542,"Average","3-year moving average","2018 to 2020","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher working","profession","Lower professional",,,"2014-2025",26.886,23.517,30.645,469,"Average","3-year moving average","2019 to 2021","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher working","profession","Lower professional",,,"2014-2025",27.392,23.855,31.242,382,"Average","3-year moving average","2020 to 2022","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher working","profession","Lower professional",,,"2014-2025",26.823,23.199,30.84,311,"Average","3-year moving average","2021 to 2023","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher working","profession","Lower professional",,,"2014-2025",26.925,23.244,30.957,267,"Average","3-year moving average","2022 to 2024","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Higher working","profession","Lower professional",,,"2014-2025",25.803,22.244,29.75,293,"Average","3-year moving average","2023 to 2025","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher working","profession","Intermediate",,,"2014-2025",19.77,16.924,22.8,750,"Average","3-year moving average","2014 to 2016","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher working","profession","Intermediate",,,"2014-2025",18.951,16.302,22.013,732,"Average","3-year moving average","2015 to 2017","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher working","profession","Intermediate",,,"2014-2025",19.865,17.049,22.892,697,"Average","3-year moving average","2016 to 2018","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher working","profession","Intermediate",,,"2014-2025",19.573,16.722,22.757,636,"Average","3-year moving average","2017 to 2019","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher working","profession","Intermediate",,,"2014-2025",20.023,17.05,23.24,542,"Average","3-year moving average","2018 to 2020","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher working","profession","Intermediate",,,"2014-2025",18.509,15.611,21.884,469,"Average","3-year moving average","2019 to 2021","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher working","profession","Intermediate",,,"2014-2025",19.258,16.111,22.659,382,"Average","3-year moving average","2020 to 2022","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher working","profession","Intermediate",,,"2014-2025",17.015,14.016,20.537,311,"Average","3-year moving average","2021 to 2023","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher working","profession","Intermediate",,,"2014-2025",18.23,15.126,21.878,267,"Average","3-year moving average","2022 to 2024","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Higher working","profession","Intermediate",,,"2014-2025",17.87,14.873,21.485,293,"Average","3-year moving average","2023 to 2025","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher working","profession","Higher working",,,"2014-2025",29.263,25.976,32.668,750,"Average","3-year moving average","2014 to 2016","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher working","profession","Higher working",,,"2014-2025",28.495,25.334,31.879,732,"Average","3-year moving average","2015 to 2017","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher working","profession","Higher working",,,"2014-2025",28.358,25.2,31.786,697,"Average","3-year moving average","2016 to 2018","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher working","profession","Higher working",,,"2014-2025",27.919,24.638,31.437,636,"Average","3-year moving average","2017 to 2019","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher working","profession","Higher working",,,"2014-2025",25.86,22.546,29.301,542,"Average","3-year moving average","2018 to 2020","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher working","profession","Higher working",,,"2014-2025",23.766,20.454,27.297,469,"Average","3-year moving average","2019 to 2021","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher working","profession","Higher working",,,"2014-2025",21.137,17.869,24.642,382,"Average","3-year moving average","2020 to 2022","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher working","profession","Higher working",,,"2014-2025",20.593,17.275,24.264,311,"Average","3-year moving average","2021 to 2023","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher working","profession","Higher working",,,"2014-2025",20.169,16.871,23.871,267,"Average","3-year moving average","2022 to 2024","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Higher working","profession","Higher working",,,"2014-2025",19.581,16.4,23.231,293,"Average","3-year moving average","2023 to 2025","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher working","profession","Lower working",,,"2014-2025",20.755,17.948,23.939,750,"Average","3-year moving average","2014 to 2016","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher working","profession","Lower working",,,"2014-2025",20.861,18.041,23.948,732,"Average","3-year moving average","2015 to 2017","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher working","profession","Lower working",,,"2014-2025",20.588,17.805,23.734,697,"Average","3-year moving average","2016 to 2018","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher working","profession","Lower working",,,"2014-2025",20.091,17.262,23.362,636,"Average","3-year moving average","2017 to 2019","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher working","profession","Lower working",,,"2014-2025",19.363,16.492,22.614,542,"Average","3-year moving average","2018 to 2020","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher working","profession","Lower working",,,"2014-2025",19.868,16.814,23.244,469,"Average","3-year moving average","2019 to 2021","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher working","profession","Lower working",,,"2014-2025",20.385,17.228,23.922,382,"Average","3-year moving average","2020 to 2022","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher working","profession","Lower working",,,"2014-2025",20.598,17.275,24.264,311,"Average","3-year moving average","2021 to 2023","Higher working background"
