"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window","background_label"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower professional","profession","Higher professional",,,"2014-2025",15.829,13.268,18.76,691,"Average","3-year moving average","2014 to 2016","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower professional","profession","Higher professional",,,"2014-2025",16.707,14.098,19.638,684,"Average","3-year moving average","2015 to 2017","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower professional","profession","Higher professional",,,"2014-2025",17.579,15.002,20.565,677,"Average","3-year moving average","2016 to 2018","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower professional","profession","Higher professional",,,"2014-2025",17.522,15.017,20.466,685,"Average","3-year moving average","2017 to 2019","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower professional","profession","Higher professional",,,"2014-2025",18.377,15.793,21.177,631,"Average","3-year moving average","2018 to 2020","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower professional","profession","Higher professional",,,"2014-2025",19.436,16.835,22.381,613,"Average","3-year moving average","2019 to 2021","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower professional","profession","Higher professional",,,"2014-2025",20.74,18.091,23.731,551,"Average","3-year moving average","2020 to 2022","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower professional","profession","Higher professional",,,"2014-2025",23.174,20.229,26.388,452,"Average","3-year moving average","2021 to 2023","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower professional","profession","Higher professional",,,"2014-2025",22.981,20.04,26.15,394,"Average","3-year moving average","2022 to 2024","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower professional","profession","Higher professional",,,"2014-2025",23.824,20.927,27.027,435,"Average","3-year moving average","2023 to 2025","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower professional","profession","Lower professional",,,"2014-2025",31.226,27.874,34.796,691,"Average","3-year moving average","2014 to 2016","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower professional","profession","Lower professional",,,"2014-2025",30.486,27.212,34.009,684,"Average","3-year moving average","2015 to 2017","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower professional","profession","Lower professional",,,"2014-2025",31.217,27.99,34.72,677,"Average","3-year moving average","2016 to 2018","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower professional","profession","Lower professional",,,"2014-2025",32.402,29.115,35.774,685,"Average","3-year moving average","2017 to 2019","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower professional","profession","Lower professional",,,"2014-2025",33.108,29.876,36.387,631,"Average","3-year moving average","2018 to 2020","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower professional","profession","Lower professional",,,"2014-2025",31.577,28.425,34.909,613,"Average","3-year moving average","2019 to 2021","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower professional","profession","Lower professional",,,"2014-2025",31.834,28.741,35.197,551,"Average","3-year moving average","2020 to 2022","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower professional","profession","Lower professional",,,"2014-2025",31.188,27.885,34.628,452,"Average","3-year moving average","2021 to 2023","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower professional","profession","Lower professional",,,"2014-2025",33.416,30.048,36.878,394,"Average","3-year moving average","2022 to 2024","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower professional","profession","Lower professional",,,"2014-2025",32.183,28.933,35.604,435,"Average","3-year moving average","2023 to 2025","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower professional","profession","Intermediate",,,"2014-2025",19.255,16.533,22.459,691,"Average","3-year moving average","2014 to 2016","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower professional","profession","Intermediate",,,"2014-2025",21.07,18.201,24.242,684,"Average","3-year moving average","2015 to 2017","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower professional","profession","Intermediate",,,"2014-2025",21.337,18.489,24.457,677,"Average","3-year moving average","2016 to 2018","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower professional","profession","Intermediate",,,"2014-2025",20.509,17.772,23.541,685,"Average","3-year moving average","2017 to 2019","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower professional","profession","Intermediate",,,"2014-2025",19.492,16.929,22.442,631,"Average","3-year moving average","2018 to 2020","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower professional","profession","Intermediate",,,"2014-2025",19.484,16.835,22.381,613,"Average","3-year moving average","2019 to 2021","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower professional","profession","Intermediate",,,"2014-2025",18.66,16.039,21.456,551,"Average","3-year moving average","2020 to 2022","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower professional","profession","Intermediate",,,"2014-2025",18.067,15.457,21.094,452,"Average","3-year moving average","2021 to 2023","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower professional","profession","Intermediate",,,"2014-2025",17.015,14.45,19.928,394,"Average","3-year moving average","2022 to 2024","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower professional","profession","Intermediate",,,"2014-2025",18.752,16.076,21.674,435,"Average","3-year moving average","2023 to 2025","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower professional","profession","Higher working",,,"2014-2025",18.076,15.353,21.132,691,"Average","3-year moving average","2014 to 2016","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower professional","profession","Higher working",,,"2014-2025",16.914,14.353,19.927,684,"Average","3-year moving average","2015 to 2017","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower professional","profession","Higher working",,,"2014-2025",16.374,13.891,19.305,677,"Average","3-year moving average","2016 to 2018","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower professional","profession","Higher working",,,"2014-2025",16.252,13.827,19.12,685,"Average","3-year moving average","2017 to 2019","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower professional","profession","Higher working",,,"2014-2025",15.857,13.421,18.506,631,"Average","3-year moving average","2018 to 2020","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower professional","profession","Higher working",,,"2014-2025",15.572,13.165,18.255,613,"Average","3-year moving average","2019 to 2021","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower professional","profession","Higher working",,,"2014-2025",13.599,11.421,16.219,551,"Average","3-year moving average","2020 to 2022","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower professional","profession","Higher working",,,"2014-2025",11.761,9.549,14.287,452,"Average","3-year moving average","2021 to 2023","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower professional","profession","Higher working",,,"2014-2025",11.289,9.22,13.872,394,"Average","3-year moving average","2022 to 2024","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower professional","profession","Higher working",,,"2014-2025",11.184,9.074,13.625,435,"Average","3-year moving average","2023 to 2025","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower professional","profession","Lower working",,,"2014-2025",15.613,13.009,18.462,691,"Average","3-year moving average","2014 to 2016","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower professional","profession","Lower working",,,"2014-2025",14.823,12.323,17.604,684,"Average","3-year moving average","2015 to 2017","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower professional","profession","Lower working",,,"2014-2025",13.493,11.195,16.205,677,"Average","3-year moving average","2016 to 2018","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower professional","profession","Lower working",,,"2014-2025",13.315,11.113,16.004,685,"Average","3-year moving average","2017 to 2019","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower professional","profession","Lower working",,,"2014-2025",13.165,10.961,15.684,631,"Average","3-year moving average","2018 to 2020","Lower professional background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower professional","profession","Lower working",,,"2014-2025",13.931,11.689,16.564,613,"Average","3-year moving average","2019 to 2021","Lower professional background"
