"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window","background_label"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Total","profession","Higher professional",,,"2014-2025",11.422,10.419,12.5,3684,"Average","3-year moving average","2014 to 2016","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Total","profession","Higher professional",,,"2014-2025",12.065,11.049,13.154,3594,"Average","3-year moving average","2015 to 2017","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Total","profession","Higher professional",,,"2014-2025",12.97,11.903,14.086,3409,"Average","3-year moving average","2016 to 2018","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Total","profession","Higher professional",,,"2014-2025",13.666,12.581,14.811,3323,"Average","3-year moving average","2017 to 2019","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Total","profession","Higher professional",,,"2014-2025",14.88,13.761,16.085,2899,"Average","3-year moving average","2018 to 2020","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Total","profession","Higher professional",,,"2014-2025",16.261,15.088,17.506,2773,"Average","3-year moving average","2019 to 2021","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Total","profession","Higher professional",,,"2014-2025",17.936,16.71,19.251,2395,"Average","3-year moving average","2020 to 2022","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Total","profession","Higher professional",,,"2014-2025",19.73,18.424,21.119,2044,"Average","3-year moving average","2021 to 2023","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Total","profession","Higher professional",,,"2014-2025",19.665,18.334,21.039,1754,"Average","3-year moving average","2022 to 2024","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Total","profession","Higher professional",,,"2014-2025",19.836,18.523,21.19,1932,"Average","3-year moving average","2023 to 2025","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Total","profession","Lower professional",,,"2014-2025",24.744,23.356,26.168,3684,"Average","3-year moving average","2014 to 2016","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Total","profession","Lower professional",,,"2014-2025",25.322,23.943,26.744,3594,"Average","3-year moving average","2015 to 2017","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Total","profession","Lower professional",,,"2014-2025",25.545,24.149,26.975,3409,"Average","3-year moving average","2016 to 2018","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Total","profession","Lower professional",,,"2014-2025",26.723,25.319,28.184,3323,"Average","3-year moving average","2017 to 2019","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Total","profession","Lower professional",,,"2014-2025",27.809,26.384,29.302,2899,"Average","3-year moving average","2018 to 2020","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Total","profession","Lower professional",,,"2014-2025",28.125,26.676,29.615,2773,"Average","3-year moving average","2019 to 2021","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Total","profession","Lower professional",,,"2014-2025",28.079,26.616,29.585,2395,"Average","3-year moving average","2020 to 2022","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Total","profession","Lower professional",,,"2014-2025",27.625,26.134,29.157,2044,"Average","3-year moving average","2021 to 2023","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Total","profession","Lower professional",,,"2014-2025",28.484,26.966,30.033,1754,"Average","3-year moving average","2022 to 2024","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Total","profession","Lower professional",,,"2014-2025",28.47,26.982,29.997,1932,"Average","3-year moving average","2023 to 2025","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Total","profession","Intermediate",,,"2014-2025",20.029,18.769,21.38,3684,"Average","3-year moving average","2014 to 2016","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Total","profession","Intermediate",,,"2014-2025",20.291,19.015,21.608,3594,"Average","3-year moving average","2015 to 2017","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Total","profession","Intermediate",,,"2014-2025",20.109,18.849,21.449,3409,"Average","3-year moving average","2016 to 2018","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Total","profession","Intermediate",,,"2014-2025",19.963,18.688,21.278,3323,"Average","3-year moving average","2017 to 2019","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Total","profession","Intermediate",,,"2014-2025",19.795,18.526,21.125,2899,"Average","3-year moving average","2018 to 2020","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Total","profession","Intermediate",,,"2014-2025",19.541,18.275,20.871,2773,"Average","3-year moving average","2019 to 2021","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Total","profession","Intermediate",,,"2014-2025",19.253,17.986,20.596,2395,"Average","3-year moving average","2020 to 2022","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Total","profession","Intermediate",,,"2014-2025",18.027,16.749,19.352,2044,"Average","3-year moving average","2021 to 2023","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Total","profession","Intermediate",,,"2014-2025",18.139,16.871,19.495,1754,"Average","3-year moving average","2022 to 2024","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Total","profession","Intermediate",,,"2014-2025",18.122,16.858,19.436,1932,"Average","3-year moving average","2023 to 2025","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Total","profession","Higher working",,,"2014-2025",22.553,21.232,23.957,3684,"Average","3-year moving average","2014 to 2016","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Total","profession","Higher working",,,"2014-2025",22.424,21.113,23.801,3594,"Average","3-year moving average","2015 to 2017","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Total","profession","Higher working",,,"2014-2025",22.372,21.049,23.751,3409,"Average","3-year moving average","2016 to 2018","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Total","profession","Higher working",,,"2014-2025",21.519,20.204,22.866,3323,"Average","3-year moving average","2017 to 2019","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Total","profession","Higher working",,,"2014-2025",20.155,18.87,21.486,2899,"Average","3-year moving average","2018 to 2020","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Total","profession","Higher working",,,"2014-2025",18.284,17.051,19.583,2773,"Average","3-year moving average","2019 to 2021","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Total","profession","Higher working",,,"2014-2025",16.022,14.842,17.272,2395,"Average","3-year moving average","2020 to 2022","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Total","profession","Higher working",,,"2014-2025",14.539,13.385,15.775,2044,"Average","3-year moving average","2021 to 2023","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Total","profession","Higher working",,,"2014-2025",14.066,12.931,15.302,1754,"Average","3-year moving average","2022 to 2024","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Total","profession","Higher working",,,"2014-2025",14.149,13.019,15.355,1932,"Average","3-year moving average","2023 to 2025","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Total","profession","Lower working",,,"2014-2025",21.252,19.96,22.628,3684,"Average","3-year moving average","2014 to 2016","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Total","profession","Lower working",,,"2014-2025",19.899,18.653,21.228,3594,"Average","3-year moving average","2015 to 2017","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Total","profession","Lower working",,,"2014-2025",19.004,17.751,20.296,3409,"Average","3-year moving average","2016 to 2018","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Total","profession","Lower working",,,"2014-2025",18.13,16.915,19.413,3323,"Average","3-year moving average","2017 to 2019","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Total","profession","Lower working",,,"2014-2025",17.361,16.152,18.624,2899,"Average","3-year moving average","2018 to 2020","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Total","profession","Lower working",,,"2014-2025",17.79,16.573,19.079,2773,"Average","3-year moving average","2019 to 2021","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Total","profession","Lower working",,,"2014-2025",18.71,17.443,20.024,2395,"Average","3-year moving average","2020 to 2022","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Total","profession","Lower working",,,"2014-2025",20.079,18.765,21.478,2044,"Average","3-year moving average","2021 to 2023","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Total","profession","Lower working",,,"2014-2025",19.645,18.334,21.039,1754,"Average","3-year moving average","2022 to 2024","Total"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Total","profession","Lower working",,,"2014-2025",19.423,18.134,20.781,1932,"Average","3-year moving average","2023 to 2025","Total"
