"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in32","Unemployment","geography_caterpillar",,"ITL2","Bedfordshire and Hertfordshire","unemp_binary","1","itl2_adolescent_geo","Bedfordshire and Hertfordshire","quintile","2",,,"2018-2025",-0.424,-1.966,1.118,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Berkshire, Buckinghamshire and Oxfordshire","unemp_binary","1","itl2_adolescent_geo","Berkshire, Buckinghamshire and Oxfordshire","quintile","3",,,"2018-2025",-0.409,-1.774,0.957,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Cheshire","unemp_binary","1","itl2_adolescent_geo","Cheshire","quintile","2",,,"2018-2025",-0.539,-2.386,1.308,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Cornwall and Isles of Scilly","unemp_binary","1","itl2_adolescent_geo","Cornwall and Isles of Scilly","quintile","2",,,"2018-2025",-0.789,-2.933,1.355,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Cumbria","unemp_binary","1","itl2_adolescent_geo","Cumbria","quintile","2",,,"2018-2025",-0.446,-2.545,1.653,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Derbyshire and Nottinghamshire","unemp_binary","1","itl2_adolescent_geo","Derbyshire and Nottinghamshire","quintile","3",,,"2018-2025",-0.385,-1.837,1.067,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Devon","unemp_binary","1","itl2_adolescent_geo","Devon","quintile","1",,,"2018-2025",-1.11,-2.863,0.644,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Dorset and Somerset","unemp_binary","1","itl2_adolescent_geo","Dorset and Somerset","quintile","1",,,"2018-2025",-0.842,-2.583,0.899,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","East Anglia","unemp_binary","1","itl2_adolescent_geo","East Anglia","quintile","1",,,"2018-2025",-0.805,-2.189,0.58,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","East Wales","unemp_binary","1","itl2_adolescent_geo","East Wales","quintile","4",,,"2018-2025",0.036,-1.729,1.801,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","East Yorkshire and Northern Lincolnshire","unemp_binary","1","itl2_adolescent_geo","East Yorkshire and Northern Lincolnshire","quintile","2",,,"2018-2025",-0.757,-2.611,1.098,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Eastern Scotland","unemp_binary","1","itl2_adolescent_geo","Eastern Scotland","quintile","4",,,"2018-2025",0.782,-0.72,2.284,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Essex","unemp_binary","1","itl2_adolescent_geo","Essex","quintile","3",,,"2018-2025",-0.357,-1.863,1.148,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Gloucestershire, Wiltshire and Bath/Bristol area","unemp_binary","1","itl2_adolescent_geo","Gloucestershire, Wiltshire and Bath/Bristol area","quintile","3",,,"2018-2025",-0.192,-1.539,1.155,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Greater Manchester","unemp_binary","1","itl2_adolescent_geo","Greater Manchester","quintile","4",,,"2018-2025",0.57,-0.835,1.974,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Hampshire and Isle of Wight","unemp_binary","1","itl2_adolescent_geo","Hampshire and Isle of Wight","quintile","1",,,"2018-2025",-0.961,-2.45,0.529,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Herefordshire, Worcestershire and Warwickshire","unemp_binary","1","itl2_adolescent_geo","Herefordshire, Worcestershire and Warwickshire","quintile","2",,,"2018-2025",-0.44,-2.094,1.214,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Highlands and Islands","unemp_binary","1","itl2_adolescent_geo","Highlands and Islands","quintile","1",,,"2018-2025",-1.39,-3.574,0.793,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Inner London - East","unemp_binary","1","itl2_adolescent_geo","Inner London - East","quintile","5",,,"2018-2025",1.717,0.16,3.274,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Inner London - West","unemp_binary","1","itl2_adolescent_geo","Inner London - West","quintile","4",,,"2018-2025",1.2,-0.719,3.118,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Kent","unemp_binary","1","itl2_adolescent_geo","Kent","quintile","1",,,"2018-2025",-1.492,-2.988,0.003,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Lancashire","unemp_binary","1","itl2_adolescent_geo","Lancashire","quintile","5",,,"2018-2025",1.689,0.073,3.305,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Leicestershire, Rutland and Northamptonshire","unemp_binary","1","itl2_adolescent_geo","Leicestershire, Rutland and Northamptonshire","quintile","3",,,"2018-2025",-0.344,-1.88,1.192,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Lincolnshire","unemp_binary","1","itl2_adolescent_geo","Lincolnshire","quintile","4",,,"2018-2025",0.526,-1.403,2.454,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Merseyside","unemp_binary","1","itl2_adolescent_geo","Merseyside","quintile","5",,,"2018-2025",1.283,-0.393,2.958,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","North Eastern Scotland","unemp_binary","1","itl2_adolescent_geo","North Eastern Scotland","quintile","5",,,"2018-2025",1.242,-0.859,3.342,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","North Yorkshire","unemp_binary","1","itl2_adolescent_geo","North Yorkshire","quintile","2",,,"2018-2025",-0.706,-2.6,1.189,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Northern Ireland","unemp_binary","1","itl2_adolescent_geo","Northern Ireland","quintile","2",,,"2018-2025",-0.662,-2.131,0.808,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Northumberland, and Tyne and Wear","unemp_binary","1","itl2_adolescent_geo","Northumberland, and Tyne and Wear","quintile","5",,,"2018-2025",2.38,0.744,4.015,,"Percent","Random effect from a linear mixed-effects model"
"in32","Unemployment","geography_caterpillar",,"ITL2","Outer London - East and North East","unemp_binary","1","itl2_adolescent_geo","Outer London - East and North East","quintile","5",,,"2018-2025",1.541,0.034,3.048,,"Percent","Random effect from a linear mixed-effects model"
