"Region","Difference compared to average"
"Bedfordshire and Hertfordshire",-0.424
"Berkshire, Buckinghamshire and Oxfordshire",-0.409
"Cheshire",-0.539
"Cornwall and Isles of Scilly",-0.789
"Cumbria",-0.446
"Derbyshire and Nottinghamshire",-0.385
"Devon",-1.11
"Dorset and Somerset",-0.842
"East Anglia",-0.805
"East Wales",0.036
"East Yorkshire and Northern Lincolnshire",-0.757
"Eastern Scotland",0.782
"Essex",-0.357
"Gloucestershire, Wiltshire and Bath/Bristol area",-0.192
"Greater Manchester",0.57
"Hampshire and Isle of Wight",-0.961
"Herefordshire, Worcestershire and Warwickshire",-0.44
"Highlands and Islands",-1.39
"Inner London - East",1.717
"Inner London - West",1.2
"Kent",-1.492
"Lancashire",1.689
"Leicestershire, Rutland and Northamptonshire",-0.344
"Lincolnshire",0.526
"Merseyside",1.283
"North Eastern Scotland",1.242
"North Yorkshire",-0.706
"Northern Ireland",-0.662
"Northumberland, and Tyne and Wear",2.38
"Outer London - East and North East",1.541
"Outer London - South",1.997
"Outer London - West and North West",1.74
"Shropshire and Staffordshire",-1.281
"South Yorkshire",0.214
"Southern Scotland",-0.334
"Surrey, East and West Sussex",-0.998
"Tees Valley and Durham",-0.141
"West Central Scotland",-1.247
"West Midlands",0.205
"West Wales and The Valleys",0.283
"West Yorkshire",-0.353
