"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in32","Unemployment","disability_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Higher professional","disability","Disabled",,,"2014 to 2019",6.322,3.965,10.143,280,"Percent",
"in32","Unemployment","disability_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Higher professional","disability","Not disabled",,,"2014 to 2019",3.249,2.647,4.006,2791,"Percent",
"in32","Unemployment","disability_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Lower professional","disability","Disabled",,,"2014 to 2019",8.423,5.829,12.045,343,"Percent",
"in32","Unemployment","disability_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Lower professional","disability","Not disabled",,,"2014 to 2019",2.987,2.448,3.635,3349,"Percent",
"in32","Unemployment","disability_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Intermediate","disability","Disabled",,,"2014 to 2019",11.517,8.647,15.271,389,"Percent",
"in32","Unemployment","disability_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Intermediate","disability","Not disabled",,,"2014 to 2019",4.302,3.695,4.99,3933,"Percent",
"in32","Unemployment","disability_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Higher working","disability","Disabled",,,"2014 to 2019",12.196,9.111,16.164,360,"Percent",
"in32","Unemployment","disability_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Higher working","disability","Not disabled",,,"2014 to 2019",4.102,3.46,4.874,3187,"Percent",
"in32","Unemployment","disability_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Lower working","disability","Disabled",,,"2014 to 2019",18.059,14.648,22.081,437,"Percent",
"in32","Unemployment","disability_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Lower working","disability","Not disabled",,,"2014 to 2019",6.183,5.355,7.138,2925,"Percent",
