"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Higher professional","ethnicity","Bangladeshi",,,"2014-2025",5.784,3.157,10.362,,"Percent",
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Higher professional","ethnicity","Black African",,,"2014-2025",8.008,5.552,11.42,,"Percent",
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Higher professional","ethnicity","Black Caribbean",,,"2014-2025",7.399,4.599,11.696,,"Percent",
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Higher professional","ethnicity","Chinese",,,"2014-2025",6.96,3.61,13,,"Percent",
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Higher professional","ethnicity","Indian",,,"2014-2025",4.83,3.469,6.686,,"Percent",
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Higher professional","ethnicity","Mixed",,,"2014-2025",5.71,3.855,8.38,,"Percent",
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Higher professional","ethnicity","Other",,,"2014-2025",5.321,3.664,7.667,,"Percent",
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Higher professional","ethnicity","Pakistani",,,"2014-2025",7.319,5.241,10.133,,"Percent",
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Higher professional","ethnicity","White British",,,"2014-2025",3.191,2.65,3.838,,"Percent",
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Higher professional","ethnicity","White other",,,"2014-2025",3.413,2.585,4.494,,"Percent",
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Lower working","ethnicity","Bangladeshi",,,"2014-2025",11.702,6.682,19.697,,"Percent",
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Lower working","ethnicity","Black African",,,"2014-2025",15.82,11.464,21.432,,"Percent",
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Lower working","ethnicity","Black Caribbean",,,"2014-2025",14.711,9.55,21.984,,"Percent",
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Lower working","ethnicity","Chinese",,,"2014-2025",13.904,7.655,23.931,,"Percent",
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Lower working","ethnicity","Indian",,,"2014-2025",9.874,7.284,13.251,,"Percent",
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Lower working","ethnicity","Mixed",,,"2014-2025",11.561,8.054,16.325,,"Percent",
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Lower working","ethnicity","Other",,,"2014-2025",10.819,7.759,14.893,,"Percent",
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Lower working","ethnicity","Pakistani",,,"2014-2025",14.565,10.949,19.118,,"Percent",
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Lower working","ethnicity","White British",,,"2014-2025",6.643,5.806,7.591,,"Percent",
"in32","Unemployment","ethnicity","K02000001","country","United Kingdom","unemp_binary",,"seb","Lower working","ethnicity","White other",,,"2014-2025",7.088,5.534,9.036,,"Percent",
