"Ethnicity","Lower working","","","Higher professional","",""
"","2014-2019 (%)","2020-2025 (%)","2014-2025 (combined) (%)","2014-2019 (%)","2020-2025 (%)","2014-2025 (combined) (%)"
"Bangladeshi","8.428","15.443","11.702","3.875","8.278","5.784"
"Chinese","12.216","15.486","13.904","5.746","8.303","6.96"
"Indian","10.073","9.628","9.874","4.677","5.002","4.83"
"Pakistani","16.775","11.849","14.565","8.113","6.229","7.319"
"Black African","19.502","13.438","15.82","9.594","7.125","8.008"
"Black Caribbean","13.278","16.076","14.711","6.285","8.647","7.399"
"Mixed","12.864","10.487","11.561","6.074","5.473","5.71"
"White British","6.909","6.345","6.643","3.149","3.239","3.191"
"White other","6.427","8.011","7.088","2.921","4.126","3.413"
"Other","12.517","9.349","10.819","5.898","4.849","5.321"
