"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in32","Unemployment","sex_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Higher professional","sex","Men",,,"2014 to 2019",3.729,2.839,4.847,1479,"Percent",
"in32","Unemployment","sex_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Higher professional","sex","Women",,,"2014 to 2019",3.318,2.511,4.337,1602,"Percent",
"in32","Unemployment","sex_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Lower professional","sex","Men",,,"2014 to 2019",3.486,2.716,4.476,1803,"Percent",
"in32","Unemployment","sex_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Lower professional","sex","Women",,,"2014 to 2019",3.436,2.667,4.362,1902,"Percent",
"in32","Unemployment","sex_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Intermediate","sex","Men",,,"2014 to 2019",4.77,3.936,5.767,2201,"Percent",
"in32","Unemployment","sex_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Intermediate","sex","Women",,,"2014 to 2019",5.266,4.359,6.303,2134,"Percent",
"in32","Unemployment","sex_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Higher working","sex","Men",,,"2014 to 2019",4.83,3.897,5.949,1783,"Percent",
"in32","Unemployment","sex_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Higher working","sex","Women",,,"2014 to 2019",4.991,4.067,6.161,1775,"Percent",
"in32","Unemployment","sex_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Lower working","sex","Men",,,"2014 to 2019",7.683,6.482,9.06,1720,"Percent",
"in32","Unemployment","sex_time_comparison","K02000001","country","United Kingdom","unemp_binary","Unemployed","seb","Lower working","sex","Women",,,"2014 to 2019",7.861,6.614,9.267,1658,"Percent",
