"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Category_type2","Category2","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",1991,"Neither parent degree","28-37","Total","Educational level","degree level and higher",,,8.98,5373,8.75,9.21,0.11734693877551,"Percentage","Upward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",1991,"Neither parent degree","28-37","Men","Educational level","degree level and higher",,,10.68,3187,10.33,11.03,0.178571428571428,"Percentage","Upward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",1991,"Neither parent degree","28-37","Women","Educational level","degree level and higher",,,7.29,2186,7,7.6,0.153061224489796,"Percentage","Upward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",2001,"Neither parent degree","28-37","Total","Educational level","degree level and higher",,,18.96,10942,18.64,19.28,0.163265306122449,"Percentage","Upward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",2001,"Neither parent degree","28-37","Men","Educational level","degree level and higher",,,19.44,5422,18.98,19.91,0.237244897959184,"Percentage","Upward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",2001,"Neither parent degree","28-37","Women","Educational level","degree level and higher",,,18.5,5520,18.06,18.95,0.227040816326531,"Percentage","Upward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",2011,"Neither parent degree","28-37","Total","Educational level","degree level and higher",,,34.69,15506,34.25,35.13,0.224489795918368,"Percentage","Upward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",2011,"Neither parent degree","28-37","Men","Educational level","degree level and higher",,,32.06,6933,31.44,32.69,0.318877551020407,"Percentage","Upward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",2011,"Neither parent degree","28-37","Women","Educational level","degree level and higher",,,37.15,8573,36.53,37.78,0.318877551020408,"Percentage","Upward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",2021,"Neither parent degree","28-37","Total","Educational level","degree level and higher",,,37.77,15876,37.3,38.23,0.237244897959184,"Percentage","Upward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",2021,"Neither parent degree","28-37","Men","Educational level","degree level and higher",,,33.2,6763,32.55,33.85,0.331632653061226,"Percentage","Upward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",2021,"Neither parent degree","28-37","Women","Educational level","degree level and higher",,,42.07,9113,41.41,42.73,0.336734693877551,"Percentage","Upward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",1991,"One or both parent degree","28-37","Total","Educational level","sub-degree/none/unknown/other",,,50.99,1293,49.02,52.95,1.00255102040816,"Percentage","Downward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",1991,"One or both parent degree","28-37","Men","Educational level","sub-degree/none/unknown/other",,,47.13,608,44.38,49.9,1.40816326530612,"Percentage","Downward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",1991,"One or both parent degree","28-37","Women","Educational level","sub-degree/none/unknown/other",,,54.98,685,52.16,57.76,1.42857142857143,"Percentage","Downward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",2001,"One or both parent degree","28-37","Total","Educational level","sub-degree/none/unknown/other",,,35.62,1872,34.32,36.93,0.665816326530612,"Percentage","Downward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",2001,"One or both parent degree","28-37","Men","Educational level","sub-degree/none/unknown/other",,,34.69,903,32.87,36.56,0.941326530612246,"Percentage","Downward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",2001,"One or both parent degree","28-37","Women","Educational level","sub-degree/none/unknown/other",,,36.52,969,34.69,38.39,0.943877551020409,"Percentage","Downward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",2011,"One or both parent degree","28-37","Total","Educational level","sub-degree/none/unknown/other",,,20.47,1159,19.43,21.55,0.540816326530613,"Percentage","Downward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",2011,"One or both parent degree","28-37","Men","Educational level","sub-degree/none/unknown/other",,,22.26,632,20.75,23.85,0.790816326530613,"Percentage","Downward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",2011,"One or both parent degree","28-37","Women","Educational level","sub-degree/none/unknown/other",,,18.67,527,17.26,20.17,0.74234693877551,"Percentage","Downward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",2021,"One or both parent degree","28-37","Total","Educational level","sub-degree/none/unknown/other",,,29.54,4244,28.8,30.29,0.380102040816326,"Percentage","Downward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",2021,"One or both parent degree","28-37","Men","Educational level","sub-degree/none/unknown/other",,,33.79,2396,32.69,34.91,0.566326530612245,"Percentage","Downward"
"MO31","Absolute educational mobility","National","K02000001","United Kingdom",2021,"One or both parent degree","28-37","Women","Educational level","sub-degree/none/unknown/other",,,25.4,1848,24.4,26.42,0.51530612244898,"Percentage","Downward"
