"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"MO32","Relative educational mobility","National",NA,"United Kingdom",1991,NA,"25-64","Total",NA,NA,9.75,NA,9,10.58,NA,"Odds ratio",NA
"MO32","Relative educational mobility","National",NA,"United Kingdom",2001,NA,"25-64","Total",NA,NA,7.76,NA,7.31,8.24,NA,"Odds ratio",NA
"MO32","Relative educational mobility","National",NA,"United Kingdom",2011,NA,"25-64","Total",NA,NA,7.3,NA,6.96,7.8,NA,"Odds ratio",NA
"MO32","Relative educational mobility","National",NA,"United Kingdom",2020,NA,"25-64","Total",NA,NA,4,NA,3.23,4.85,NA,"Odds ratio",NA
"MO32","Relative educational mobility","National",NA,"United Kingdom",2020,NA,"25-64","Men",NA,NA,3.86,NA,3.33,4.45,NA,"Odds ratio",NA
"MO32","Relative educational mobility","National",NA,"United Kingdom",2020,NA,"25-64","Women",NA,NA,4.86,NA,4.25,5.56,NA,"Odds ratio",NA
"MO32","Relative educational mobility","National",NA,"United Kingdom",2020,NA,"25-64","All",NA,NA,4.36,NA,3.95,4.8,NA,"Odds ratio",NA
"MO32","Relative educational mobility","National",NA,"United Kingdom",2020,NA,"25-64","Total","Ethnicity","White British",4.18,NA,3.75,4.66,NA,"Odds ratio",NA
"MO32","Relative educational mobility","National",NA,"United Kingdom",2020,NA,"25-64","Total","Ethnicity","Other White",3.6,NA,2.42,5.37,NA,"Odds ratio",NA
"MO32","Relative educational mobility","National",NA,"United Kingdom",2020,NA,"25-64","Total","Ethnicity","Mixed",4.72,NA,2.3,9.66,NA,"Odds ratio",NA
"MO32","Relative educational mobility","National",NA,"United Kingdom",2020,NA,"25-64","Total","Ethnicity","Indian",4.17,NA,2.45,7.1,NA,"Odds ratio",NA
"MO32","Relative educational mobility","National",NA,"United Kingdom",2020,NA,"25-64","Total","Ethnicity","Pakistani",4.29,NA,1.68,10.93,NA,"Odds ratio",NA
"MO32","Relative educational mobility","National",NA,"United Kingdom",2020,NA,"25-64","Total","Ethnicity","Bangladeshi",4.58,NA,1.29,16.23,NA,"Odds ratio",NA
"MO32","Relative educational mobility","National",NA,"United Kingdom",2020,NA,"25-64","Total","Ethnicity","Chinese",NA,NA,NA,NA,NA,"Odds ratio",NA
"MO32","Relative educational mobility","National",NA,"United Kingdom",2020,NA,"25-64","Total","Ethnicity","Black Caribbean",2.9,NA,0.87,9.66,NA,"Odds ratio",NA
"MO32","Relative educational mobility","National",NA,"United Kingdom",2020,NA,"25-64","Total","Ethnicity","Black African",4.83,NA,2.4,9.73,NA,"Odds ratio",NA
"MO32","Relative educational mobility","National",NA,"United Kingdom",2020,NA,"25-64","Total","Ethnicity","Other",4.85,NA,2.55,9.24,NA,"Odds ratio",NA
"MO32","Relative educational mobility","National",NA,"United Kingdom",2020,NA,"25-64","Total","Disability","No",4.07,NA,3.39,4.89,NA,"Odds ratio",NA
"MO32","Relative educational mobility","National",NA,"United Kingdom",2020,NA,"25-64","Total","Disability","Yes",4.3,NA,3.83,4.83,NA,"Odds ratio",NA
"MO32","Relative educational mobility","National",NA,"United Kingdom",2020,NA,"25-64","Total","Disability","All",4.33,NA,3.93,4.78,NA,"Odds ratio",NA
"MO32","Relative educational mobility","ITL1",NA,"North East",2020,NA,"25-64","Total",NA,NA,4.44,NA,2.66,7.4,NA,"Odds ratio",NA
"MO32","Relative educational mobility","ITL1",NA,"North West",2020,NA,"25-64","Total",NA,NA,3.95,NA,2.92,5.35,NA,"Odds ratio",NA
"MO32","Relative educational mobility","ITL1",NA,"Yorkshire & Humberside",2020,NA,"25-64","Total",NA,NA,5.59,NA,3.9,8.01,NA,"Odds ratio",NA
"MO32","Relative educational mobility","ITL1",NA,"East Midlands",2020,NA,"25-64","Total",NA,NA,3.18,NA,2.18,4.63,NA,"Odds ratio",NA
"MO32","Relative educational mobility","ITL1",NA,"West Midlands",2020,NA,"25-64","Total",NA,NA,4.46,NA,3.1,6.42,NA,"Odds ratio",NA
"MO32","Relative educational mobility","ITL1",NA,"East of England",2020,NA,"25-64","Total",NA,NA,5.51,NA,4.03,7.65,NA,"Odds ratio",NA
"MO32","Relative educational mobility","ITL1",NA,"London",2020,NA,"25-64","Total",NA,NA,4.1,NA,3.21,5.24,NA,"Odds ratio",NA
"MO32","Relative educational mobility","ITL1",NA,"South East",2020,NA,"25-64","Total",NA,NA,3.85,NA,3.02,4.91,NA,"Odds ratio",NA
"MO32","Relative educational mobility","ITL1",NA,"South West",2020,NA,"25-64","Total",NA,NA,4.41,NA,3.18,6.11,NA,"Odds ratio",NA
"MO32","Relative educational mobility","ITL1",NA,"Wales",2020,NA,"25-64","Total",NA,NA,3.76,NA,2.13,5.24,NA,"Odds ratio",NA
"MO32","Relative educational mobility","ITL1",NA,"Scotland",2020,NA,"25-64","Total",NA,NA,3.13,NA,2.22,4.41,NA,"Odds ratio",NA
"MO32","Relative educational mobility","ITL1",NA,"Northern Ireland",2020,NA,"25-64","Total",NA,NA,3.08,NA,1.31,7.22,NA,"Odds ratio",NA
"MO32","Relative educational mobility","ITL1",NA,"Overall",2020,NA,"25-64","Total",NA,NA,4.35,NA,3.94,4.79,NA,"Odds ratio",NA
