"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"MO42","Relative housing mobility","National","K02000001","United Kingdom",1991,,"28-37","Total",,,2.86,,2.75,2.97,0.0561224489795919,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",1991,,"28-37","Men",,,2.94,,2.78,3.11,0.0841836734693878,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",1991,,"28-37","Women",,,2.78,,2.63,2.94,0.0790816326530612,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",2001,,"28-37","Total",,,3.1,,2.99,3.22,0.0586734693877551,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",2001,,"28-37","Men",,,2.92,,2.76,3.08,0.0816326530612246,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",2001,,"28-37","Women",,,3.25,,3.09,3.42,0.0841836734693878,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",2011,,"28-37","Total",,,3.71,,3.56,3.87,0.0790816326530612,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",2011,,"28-37","Men",,,3.46,,3.26,3.68,0.107142857142857,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",2011,,"28-37","Women",,,3.93,,3.7,4.16,0.11734693877551,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",2021,,"28-37","Total",,,4.64,,4.46,4.83,0.0943877551020409,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",2021,,"28-37","Men",,,4.62,,4.36,4.89,0.135204081632653,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",2021,,"28-37","Women",,,4.66,,4.41,4.92,0.130102040816326,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",2001,,"38-47","Total",,,2.6,,2.49,2.72,0.0586734693877551,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",2001,,"38-47","Men",,,2.57,,2.41,2.73,0.0816326530612245,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",2001,,"38-47","Women",,,2.63,,2.48,2.79,0.0790816326530612,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",2011,,"38-47","Total",,,3.01,,2.9,3.13,0.0586734693877551,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",2011,,"38-47","Men",,,2.83,,2.68,2.99,0.0790816326530612,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",2011,,"38-47","Women",,,3.18,,3.02,3.35,0.0841836734693878,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",2021,,"38-47","Total",,,4.09,,3.92,4.27,0.0892857142857142,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",2021,,"38-47","Men",,,3.94,,3.7,4.18,0.122448979591837,"Odds ratio",
"MO42","Relative housing mobility","National","K02000001","United Kingdom",2021,,"38-47","Women",,,4.22,,3.98,4.47,0.125,"Odds ratio",
