"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Category_type2","Category2","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1910-19",NA,"25-65","Men",NA,NA,NA,NA,0.144,NA,NA,NA,NA,"Percentage","Long-range upward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1920-29",NA,"25-65","Men",NA,NA,NA,NA,0.181,NA,NA,NA,NA,"Percentage","Long-range upward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1930-39",NA,"25-65","Men",NA,NA,NA,NA,0.228,NA,NA,NA,NA,"Percentage","Long-range upward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1940-49",NA,"25-65","Men",NA,NA,NA,NA,0.262,NA,NA,NA,NA,"Percentage","Long-range upward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1950-59",NA,"25-65","Men",NA,NA,NA,NA,0.304,NA,NA,NA,NA,"Percentage","Long-range upward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1960-69",NA,"25-65","Men",NA,NA,NA,NA,0.347,NA,NA,NA,NA,"Percentage","Long-range upward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1970-79",NA,"25-65","Men",NA,NA,NA,NA,0.399,NA,NA,NA,NA,"Percentage","Long-range upward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1980-89",NA,"25-65","Men",NA,NA,NA,NA,0.362,NA,NA,NA,NA,"Percentage","Long-range upward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1990-99",NA,"25-65","Men",NA,NA,NA,NA,0.346,NA,NA,NA,NA,"Percentage","Long-range upward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1910-19",NA,"25-65","Men",NA,NA,NA,NA,0.296,NA,NA,NA,NA,"Percentage","Long-range downward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1920-29",NA,"25-65","Men",NA,NA,NA,NA,0.279,NA,NA,NA,NA,"Percentage","Long-range downward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1930-39",NA,"25-65","Men",NA,NA,NA,NA,0.228,NA,NA,NA,NA,"Percentage","Long-range downward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1940-49",NA,"25-65","Men",NA,NA,NA,NA,0.199,NA,NA,NA,NA,"Percentage","Long-range downward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1950-59",NA,"25-65","Men",NA,NA,NA,NA,0.202,NA,NA,NA,NA,"Percentage","Long-range downward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1960-69",NA,"25-65","Men",NA,NA,NA,NA,0.185,NA,NA,NA,NA,"Percentage","Long-range downward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1970-79",NA,"25-65","Men",NA,NA,NA,NA,0.157,NA,NA,NA,NA,"Percentage","Long-range downward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1980-89",NA,"25-65","Men",NA,NA,NA,NA,0.187,NA,NA,NA,NA,"Percentage","Long-range downward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1990-99",NA,"25-65","Men",NA,NA,NA,NA,0.208,NA,NA,NA,NA,"Percentage","Long-range downward"
