"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Category_type2","Category2","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1910-19",NA,"25-65","Women",NA,NA,NA,NA,0.721,NA,NA,NA,NA,"Percentage","Total"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1920-29",NA,"25-65","Women",NA,NA,NA,NA,0.737,NA,NA,NA,NA,"Percentage","Total"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1930-39",NA,"25-65","Women",NA,NA,NA,NA,0.738,NA,NA,NA,NA,"Percentage","Total"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1940-49",NA,"25-65","Women",NA,NA,NA,NA,0.738,NA,NA,NA,NA,"Percentage","Total"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1950-59",NA,"25-65","Women",NA,NA,NA,NA,0.713,NA,NA,NA,NA,"Percentage","Total"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1960-69",NA,"25-65","Women",NA,NA,NA,NA,0.687,NA,NA,NA,NA,"Percentage","Total"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1970-79",NA,"25-65","Women",NA,NA,NA,NA,0.654,NA,NA,NA,NA,"Percentage","Total"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1980-89",NA,"25-65","Women",NA,NA,NA,NA,0.639,NA,NA,NA,NA,"Percentage","Total"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1990-99",NA,"25-65","Women",NA,NA,NA,NA,0.622,NA,NA,NA,NA,"Percentage","Total"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1910-19",NA,"25-65","Women",NA,NA,NA,NA,0.298,NA,NA,NA,NA,"Percentage","Upward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1920-29",NA,"25-65","Women",NA,NA,NA,NA,0.358,NA,NA,NA,NA,"Percentage","Upward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1930-39",NA,"25-65","Women",NA,NA,NA,NA,0.419,NA,NA,NA,NA,"Percentage","Upward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1940-49",NA,"25-65","Women",NA,NA,NA,NA,0.429,NA,NA,NA,NA,"Percentage","Upward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1950-59",NA,"25-65","Women",NA,NA,NA,NA,0.447,NA,NA,NA,NA,"Percentage","Upward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1960-69",NA,"25-65","Women",NA,NA,NA,NA,0.434,NA,NA,NA,NA,"Percentage","Upward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1970-79",NA,"25-65","Women",NA,NA,NA,NA,0.406,NA,NA,NA,NA,"Percentage","Upward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1980-89",NA,"25-65","Women",NA,NA,NA,NA,0.385,NA,NA,NA,NA,"Percentage","Upward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1990-99",NA,"25-65","Women",NA,NA,NA,NA,0.349,NA,NA,NA,NA,"Percentage","Upward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1910-19",NA,"25-65","Women",NA,NA,NA,NA,0.424,NA,NA,NA,NA,"Percentage","Downward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1920-29",NA,"25-65","Women",NA,NA,NA,NA,0.379,NA,NA,NA,NA,"Percentage","Downward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1930-39",NA,"25-65","Women",NA,NA,NA,NA,0.319,NA,NA,NA,NA,"Percentage","Downward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1940-49",NA,"25-65","Women",NA,NA,NA,NA,0.309,NA,NA,NA,NA,"Percentage","Downward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1950-59",NA,"25-65","Women",NA,NA,NA,NA,0.266,NA,NA,NA,NA,"Percentage","Downward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1960-69",NA,"25-65","Women",NA,NA,NA,NA,0.253,NA,NA,NA,NA,"Percentage","Downward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1970-79",NA,"25-65","Women",NA,NA,NA,NA,0.249,NA,NA,NA,NA,"Percentage","Downward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1980-89",NA,"25-65","Women",NA,NA,NA,NA,0.254,NA,NA,NA,NA,"Percentage","Downward"
"MO11","Absolute occupational mobility","National",NA,"United Kingdom","1990-99",NA,"25-65","Women",NA,NA,NA,NA,0.272,NA,NA,NA,NA,"Percentage","Downward"
