"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Category_type2","Category2","Value","Sample_size","LCI","UCI","SE","Unit","Value_note","split_value"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",1991,"Working","28-37","Men","Occupational class","Professional",,,24.63,4027,23.98,25.3,0.336734693877551,"Percentage","Upward","Men - Aged 28-37"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2001,"Working","28-37","Men","Occupational class","Professional",,,33,4593,32.22,33.79,0.400510204081633,"Percentage","Upward","Men - Aged 28-37"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2011,"Working","28-37","Men","Occupational class","Professional",,,34.41,3021,33.42,35.42,0.510204081632653,"Percentage","Upward","Men - Aged 28-37"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2021,"Working","28-37","Men","Occupational class","Professional",,,35.58,3474,34.63,36.54,0.487244897959183,"Percentage","Upward","Men - Aged 28-37"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2001,"Working","38-47","Men","Occupational class","Professional",,,34.16,5316,33.41,34.91,0.38265306122449,"Percentage","Upward","Men - Aged 38-47"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2011,"Working","38-47","Men","Occupational class","Professional",,,33.34,4633,32.56,34.13,0.400510204081633,"Percentage","Upward","Men - Aged 38-47"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2021,"Working","38-47","Men","Occupational class","Professional",,,39.2,3627,38.21,40.21,0.510204081632653,"Percentage","Upward","Men - Aged 38-47"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",1991,"Working","28-37","Women","Occupational class","Professional",,,19.84,2841,19.19,20.5,0.334183673469387,"Percentage","Upward","Women - Aged 28-37"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2001,"Working","28-37","Women","Occupational class","Professional",,,29.71,4361,28.98,30.46,0.377551020408163,"Percentage","Upward","Women - Aged 28-37"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2011,"Working","28-37","Women","Occupational class","Professional",,,35.92,3287,34.93,36.91,0.505102040816326,"Percentage","Upward","Women - Aged 28-37"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2021,"Working","28-37","Women","Occupational class","Professional",,,38.48,4012,37.54,39.42,0.479591836734695,"Percentage","Upward","Women - Aged 28-37"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2001,"Working","38-47","Women","Occupational class","Professional",,,27.98,4415,27.28,28.69,0.35969387755102,"Percentage","Upward","Women - Aged 38-47"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2011,"Working","38-47","Women","Occupational class","Professional",,,31.52,4590,30.77,32.28,0.385204081632653,"Percentage","Upward","Women - Aged 38-47"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2021,"Working","38-47","Women","Occupational class","Professional",,,40.78,3927,39.8,41.77,0.502551020408165,"Percentage","Upward","Women - Aged 38-47"
