"university_name","university_slug","group","decile","cumulative_percentage"
"Anglia Ruskin University","anglia-ruskin-university","Enrolment",0,0
"Anglia Ruskin University","anglia-ruskin-university","Enrolment",1,5
"Anglia Ruskin University","anglia-ruskin-university","Enrolment",2,12
"Anglia Ruskin University","anglia-ruskin-university","Enrolment",3,20
"Anglia Ruskin University","anglia-ruskin-university","Enrolment",4,30
"Anglia Ruskin University","anglia-ruskin-university","Enrolment",5,41
"Anglia Ruskin University","anglia-ruskin-university","Enrolment",6,53
"Anglia Ruskin University","anglia-ruskin-university","Enrolment",7,68
"Anglia Ruskin University","anglia-ruskin-university","Enrolment",8,82
"Anglia Ruskin University","anglia-ruskin-university","Enrolment",9,91
"Anglia Ruskin University","anglia-ruskin-university","Enrolment",10,100
"Anglia Ruskin University","anglia-ruskin-university","Equal",0,0
"Anglia Ruskin University","anglia-ruskin-university","Equal",1,10
"Anglia Ruskin University","anglia-ruskin-university","Equal",2,20
"Anglia Ruskin University","anglia-ruskin-university","Equal",3,30
"Anglia Ruskin University","anglia-ruskin-university","Equal",4,40
"Anglia Ruskin University","anglia-ruskin-university","Equal",5,50
"Anglia Ruskin University","anglia-ruskin-university","Equal",6,60
"Anglia Ruskin University","anglia-ruskin-university","Equal",7,70
"Anglia Ruskin University","anglia-ruskin-university","Equal",8,80
"Anglia Ruskin University","anglia-ruskin-university","Equal",9,90
"Anglia Ruskin University","anglia-ruskin-university","Equal",10,100
"Anglia Ruskin University","anglia-ruskin-university","Required",0,0
"Anglia Ruskin University","anglia-ruskin-university","Required",1,5
"Anglia Ruskin University","anglia-ruskin-university","Required",2,12
"Anglia Ruskin University","anglia-ruskin-university","Required",3,20
"Anglia Ruskin University","anglia-ruskin-university","Required",4,30
"Anglia Ruskin University","anglia-ruskin-university","Required",5,40
"Anglia Ruskin University","anglia-ruskin-university","Required",6,51
"Anglia Ruskin University","anglia-ruskin-university","Required",7,62
"Anglia Ruskin University","anglia-ruskin-university","Required",8,74
"Anglia Ruskin University","anglia-ruskin-university","Required",9,86
"Anglia Ruskin University","anglia-ruskin-university","Required",10,100
