"university_name","university_slug","group","decile","cumulative_percentage"
"Bath Spa University","bath-spa-university","Enrolment",0,0
"Bath Spa University","bath-spa-university","Enrolment",1,2
"Bath Spa University","bath-spa-university","Enrolment",2,6
"Bath Spa University","bath-spa-university","Enrolment",3,11
"Bath Spa University","bath-spa-university","Enrolment",4,16
"Bath Spa University","bath-spa-university","Enrolment",5,26
"Bath Spa University","bath-spa-university","Enrolment",6,42
"Bath Spa University","bath-spa-university","Enrolment",7,58
"Bath Spa University","bath-spa-university","Enrolment",8,75
"Bath Spa University","bath-spa-university","Enrolment",9,88
"Bath Spa University","bath-spa-university","Enrolment",10,100
"Bath Spa University","bath-spa-university","Equal",0,0
"Bath Spa University","bath-spa-university","Equal",1,10
"Bath Spa University","bath-spa-university","Equal",2,20
"Bath Spa University","bath-spa-university","Equal",3,30
"Bath Spa University","bath-spa-university","Equal",4,40
"Bath Spa University","bath-spa-university","Equal",5,50
"Bath Spa University","bath-spa-university","Equal",6,60
"Bath Spa University","bath-spa-university","Equal",7,70
"Bath Spa University","bath-spa-university","Equal",8,80
"Bath Spa University","bath-spa-university","Equal",9,90
"Bath Spa University","bath-spa-university","Equal",10,100
"Bath Spa University","bath-spa-university","Required",0,0
"Bath Spa University","bath-spa-university","Required",1,4
"Bath Spa University","bath-spa-university","Required",2,9
"Bath Spa University","bath-spa-university","Required",3,15
"Bath Spa University","bath-spa-university","Required",4,22
"Bath Spa University","bath-spa-university","Required",5,31
"Bath Spa University","bath-spa-university","Required",6,42
"Bath Spa University","bath-spa-university","Required",7,54
"Bath Spa University","bath-spa-university","Required",8,67
"Bath Spa University","bath-spa-university","Required",9,81
"Bath Spa University","bath-spa-university","Required",10,100
