"university_name","university_slug","group","decile","cumulative_percentage"
"Bournemouth University","bournemouth-university","Enrolment",0,0
"Bournemouth University","bournemouth-university","Enrolment",1,3
"Bournemouth University","bournemouth-university","Enrolment",2,8
"Bournemouth University","bournemouth-university","Enrolment",3,15
"Bournemouth University","bournemouth-university","Enrolment",4,23
"Bournemouth University","bournemouth-university","Enrolment",5,36
"Bournemouth University","bournemouth-university","Enrolment",6,49
"Bournemouth University","bournemouth-university","Enrolment",7,62
"Bournemouth University","bournemouth-university","Enrolment",8,74
"Bournemouth University","bournemouth-university","Enrolment",9,89
"Bournemouth University","bournemouth-university","Enrolment",10,100
"Bournemouth University","bournemouth-university","Equal",0,0
"Bournemouth University","bournemouth-university","Equal",1,10
"Bournemouth University","bournemouth-university","Equal",2,20
"Bournemouth University","bournemouth-university","Equal",3,30
"Bournemouth University","bournemouth-university","Equal",4,40
"Bournemouth University","bournemouth-university","Equal",5,50
"Bournemouth University","bournemouth-university","Equal",6,60
"Bournemouth University","bournemouth-university","Equal",7,70
"Bournemouth University","bournemouth-university","Equal",8,80
"Bournemouth University","bournemouth-university","Equal",9,90
"Bournemouth University","bournemouth-university","Equal",10,100
"Bournemouth University","bournemouth-university","Required",0,0
"Bournemouth University","bournemouth-university","Required",1,5
"Bournemouth University","bournemouth-university","Required",2,11
"Bournemouth University","bournemouth-university","Required",3,18
"Bournemouth University","bournemouth-university","Required",4,27
"Bournemouth University","bournemouth-university","Required",5,37
"Bournemouth University","bournemouth-university","Required",6,48
"Bournemouth University","bournemouth-university","Required",7,59
"Bournemouth University","bournemouth-university","Required",8,71
"Bournemouth University","bournemouth-university","Required",9,84
"Bournemouth University","bournemouth-university","Required",10,100
