"university_name","university_slug","group","decile","cumulative_percentage"
"Buckinghamshire New University","buckinghamshire-new-university","Enrolment",0,0
"Buckinghamshire New University","buckinghamshire-new-university","Enrolment",1,6
"Buckinghamshire New University","buckinghamshire-new-university","Enrolment",2,15
"Buckinghamshire New University","buckinghamshire-new-university","Enrolment",3,25
"Buckinghamshire New University","buckinghamshire-new-university","Enrolment",4,35
"Buckinghamshire New University","buckinghamshire-new-university","Enrolment",5,47
"Buckinghamshire New University","buckinghamshire-new-university","Enrolment",6,59
"Buckinghamshire New University","buckinghamshire-new-university","Enrolment",7,69
"Buckinghamshire New University","buckinghamshire-new-university","Enrolment",8,82
"Buckinghamshire New University","buckinghamshire-new-university","Enrolment",9,93
"Buckinghamshire New University","buckinghamshire-new-university","Enrolment",10,100
"Buckinghamshire New University","buckinghamshire-new-university","Equal",0,0
"Buckinghamshire New University","buckinghamshire-new-university","Equal",1,10
"Buckinghamshire New University","buckinghamshire-new-university","Equal",2,20
"Buckinghamshire New University","buckinghamshire-new-university","Equal",3,30
"Buckinghamshire New University","buckinghamshire-new-university","Equal",4,40
"Buckinghamshire New University","buckinghamshire-new-university","Equal",5,50
"Buckinghamshire New University","buckinghamshire-new-university","Equal",6,60
"Buckinghamshire New University","buckinghamshire-new-university","Equal",7,70
"Buckinghamshire New University","buckinghamshire-new-university","Equal",8,80
"Buckinghamshire New University","buckinghamshire-new-university","Equal",9,90
"Buckinghamshire New University","buckinghamshire-new-university","Equal",10,100
"Buckinghamshire New University","buckinghamshire-new-university","Required",0,0
"Buckinghamshire New University","buckinghamshire-new-university","Required",1,5
"Buckinghamshire New University","buckinghamshire-new-university","Required",2,11
"Buckinghamshire New University","buckinghamshire-new-university","Required",3,19
"Buckinghamshire New University","buckinghamshire-new-university","Required",4,28
"Buckinghamshire New University","buckinghamshire-new-university","Required",5,38
"Buckinghamshire New University","buckinghamshire-new-university","Required",6,49
"Buckinghamshire New University","buckinghamshire-new-university","Required",7,60
"Buckinghamshire New University","buckinghamshire-new-university","Required",8,72
"Buckinghamshire New University","buckinghamshire-new-university","Required",9,85
"Buckinghamshire New University","buckinghamshire-new-university","Required",10,100
